,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time,festivo,Visper_fest,Airline_Type,OCC
654,2025-11-22,Azerbaijan Airlines,J246,baku,10:45:00,En hora,186,Airbus A320neo,Y,INT,Sábado,Mañana,0,0,Low_Cost,0.95
655,2025-11-22,SkyUp MT,U5406,chisinau,10:50:00,En hora,149,Boeing 737-700,W,INT,Sábado,Mañana,0,0,Low_Cost,0.95
656,2025-11-22,Grupo easy,U22704,bristol,10:55:00,En hora,180,Airbus A320,M,INT,Sábado,Mañana,0,0,Low_Cost,0.93
659,2025-11-22,Grupo easy,EC7193,leeds bradford,11:30:00,En hora,156,Airbus A319,M,INT,Sábado,Mañana,0,0,Low_Cost,0.95
660,2025-11-22,Aer Lingus,EI563,dublin,11:30:00,En hora,174,Airbus A320,Y,INT,Sábado,Mañana,0,0,Low_Cost,0.96
663,2025-11-22,Grupo easy,EC8064,london,12:10:00,En hora,156,Airbus A319,M,INT,Sábado,Tarde,0,0,Low_Cost,0.97
665,2025-11-22,Pegasus Airlines,PC1092,istanbul,12:45:00,Retrasado,220,Airbus A321,Y,INT,Sábado,Tarde,0,0,Low_Cost,0.95
666,2025-11-22,Grupo wizz,W67022,bratislava,12:55:00,En hora,239,Airbus A321neo,U,EU,Sábado,Tarde,0,0,Low_Cost,0.95
668,2025-11-22,Boliviana de Aviacion,OB775,santa cruz,13:10:00,Retrasado,246,Airbus A330-200,Y,INT,Sábado,Tarde,0,0,Legacy,0.86
669,2025-11-22,Grupo wizz,W46330,milan,13:10:00,En hora,230,Airbus A321,U,EU,Sábado,Tarde,0,0,Low_Cost,0.97
670,2025-11-22,Grupo easy,EC7101,"basel, switzerland/mulhouse",13:20:00,En hora,156,Airbus A319,R,EU,Sábado,Tarde,0,0,Low_Cost,0.95
674,2025-11-22,Air Arabia Maroc,3O378,tanger,13:35:00,Retrasado,174,Airbus A320,Y,INT,Sábado,Tarde,0,0,Low_Cost,0.95
675,2025-11-22,Grupo easy,EC7153,milan,13:35:00,En hora,156,Airbus A319,R,EU,Sábado,Tarde,0,0,Low_Cost,0.97
676,2025-11-22,Ajet,VF608,ankara,13:40:00,Retrasado,180,Airbus A320,W,INT,Sábado,Tarde,0,0,Low_Cost,0.95
678,2025-11-22,Air Baltic,BT684,riga,14:05:00,Retrasado,148,Airbus A220-300,S,EU,Sábado,Tarde,0,0,Low_Cost,0.97
681,2025-11-22,Kuwait Airways,KU136,kuwait city,14:25:00,En hora,278,Airbus A330-900,W,INT,Sábado,Tarde,0,0,Legacy,0.86
687,2025-11-22,Grupo wizz,W46728,venice,15:40:00,En hora,239,Airbus A321neo,S,EU,Sábado,Tarde,0,0,Low_Cost,0.97
699,2025-11-22,Grupo easy,EC7103,"basel, switzerland/mulhouse",18:00:00,En hora,156,Airbus A319,R,EU,Sábado,Tarde,0,0,Low_Cost,0.95
700,2025-11-22,Norwegian Air Sweden AOC,D81741,oslo,18:15:00,En hora,189,Boeing 737-800,U,EU,Sábado,Tarde,0,0,Low_Cost,0.95
702,2025-11-22,Transavia,HV5134,amsterdam,18:15:00,En hora,232,Airbus A321neo,U,EU,Sábado,Tarde,0,0,Low_Cost,0.95
705,2025-11-22,Grupo wizz,W61176,katowice,18:55:00,En hora,239,Airbus A321neo,S,EU,Sábado,Tarde,0,0,Low_Cost,0.95
706,2025-11-22,Grupo wizz,W61478,warsaw,19:00:00,En hora,239,Airbus A321neo,S,EU,Sábado,Tarde,0,0,Low_Cost,0.97
710,2025-11-22,Grupo wizz,W64406,sofia,19:35:00,En hora,239,Airbus A321neo,S,EU,Sábado,Tarde,0,0,Low_Cost,0.97
711,2025-11-22,Air Baltic,BT878,tallinn,19:40:00,En hora,148,Airbus A220-300,U,EU,Sábado,Tarde,0,0,Low_Cost,0.97
714,2025-11-22,Grupo easy,EC1380,geneva,20:10:00,En hora,180,Airbus A320,R,EU,Sábado,Noche,0,0,Low_Cost,0.95
717,2025-11-22,T'Way Air,TW408,seoul/incheon,20:30:00,En hora,294,BOEING 777-300ER,Y,INT,Sábado,Noche,0,0,Low_Cost,0.95
720,2025-11-22,Transavia,TO4759,paris,20:45:00,Retrasado,186,Airbus A320neo,U,EU,Sábado,Noche,0,0,Low_Cost,0.97
721,2025-11-22,Grupo wizz,W62378,budapest,20:45:00,Retrasado,239,Airbus A321neo,U,EU,Sábado,Noche,0,0,Low_Cost,0.97
725,2025-11-22,Grupo wizz,W43178,bucharest,21:20:00,En hora,230,Airbus A321,S,EU,Sábado,Noche,0,0,Low_Cost,0.95
726,2025-11-22,Grupo wizz,W43406,cluj-napoca,21:25:00,En hora,180,Airbus A320,S,EU,Sábado,Noche,0,0,Low_Cost,0.95
729,2025-11-22,Grupo wizz,W46020,rome,21:35:00,En hora,239,Airbus A321neo,S,EU,Sábado,Noche,0,0,Low_Cost,0.96
732,2025-11-22,Grupo wizz,W64116,belgrade,22:10:00,En hora,239,Airbus A321neo,Y,INT,Sábado,Noche,0,0,Low_Cost,0.95
733,2025-11-22,Air Arabia Maroc,3O642,tanger,22:15:00,En hora,174,Airbus A320,W,INT,Sábado,Noche,0,0,Low_Cost,0.95
740,2025-11-23,Grupo easy,EC7101,"basel, switzerland/mulhouse",06:50:00,En hora,156,Airbus A319,R,EU,Domingo,Mañana,0,0,Low_Cost,0.95
741,2025-11-23,Grupo easy,EC7191,glasgow,07:20:00,En hora,156,Airbus A319,M,INT,Domingo,Mañana,0,0,Low_Cost,0.95
745,2025-11-23,Norwegian Air Sweden AOC,D85510,copenhagen,08:00:00,En hora,189,Boeing 737-800,U,EU,Domingo,Mañana,0,0,Low_Cost,0.97
746,2025-11-23,Grupo easy,EC7131,nice/cote d'azur,08:00:00,En hora,156,Airbus A319,R,EU,Domingo,Mañana,0,0,Low_Cost,0.95
747,2025-11-23,Grupo easy,EC3754,milan,08:25:00,En hora,180,Airbus A320,R,EU,Domingo,Mañana,0,0,Low_Cost,0.97
749,2025-11-23,Grupo easy,EC1376,geneva,08:35:00,En hora,156,Airbus A319,R,EU,Domingo,Mañana,0,0,Low_Cost,0.95
750,2025-11-23,Volotea,V73735,murcia,08:40:00,Retrasado,180,Airbus A320,U,NAC,Domingo,Mañana,0,0,Low_Cost,0.95
753,2025-11-23,Grupo wizz,W62048,krakow,09:05:00,Retrasado,239,Airbus A321neo,S,EU,Domingo,Mañana,0,0,Low_Cost,0.97
755,2025-11-23,Eurowings,EW7521,hamburg,09:25:00,En hora,150,Airbus A319,S,EU,Domingo,Mañana,0,0,Low_Cost,0.95
756,2025-11-23,Grupo wizz,W43176,bucharest,09:25:00,En hora,239,Airbus A321neo,U,EU,Domingo,Mañana,0,0,Low_Cost,0.95
757,2025-11-23,Grupo wizz,W45088,tirana,09:25:00,En hora,239,Airbus A321neo,W,INT,Domingo,Mañana,0,0,Low_Cost,0.95
758,2025-11-23,Grupo wizz,W62376,budapest,09:25:00,Retrasado,239,Airbus A321neo,U,EU,Domingo,Mañana,0,0,Low_Cost,0.97
760,2025-11-23,Grupo wizz,W42938,vienna,09:35:00,Retrasado,239,Airbus A321neo,R,EU,Domingo,Mañana,0,0,Low_Cost,0.97
761,2025-11-23,Grupo easy,EC7656,lisbon,09:45:00,En hora,230,Airbus A321,R,EU,Domingo,Mañana,0,0,Low_Cost,0.97
768,2025-11-23,Grupo wizz,W46018,rome,10:00:00,En hora,239,Airbus A321neo,S,EU,Domingo,Mañana,0,0,Low_Cost,0.96
771,2025-11-23,Grupo wizz,W61476,warsaw,10:15:00,En hora,239,Airbus A321neo,S,EU,Domingo,Mañana,0,0,Low_Cost,0.97
777,2025-11-23,Azerbaijan Airlines,J246,baku,10:45:00,Retrasado,122,Airbus A319,W,INT,Domingo,Mañana,0,0,Low_Cost,0.95
779,2025-11-23,Norwegian Air Sweden AOC,D81741,oslo,11:15:00,En hora,189,Boeing 737-800,U,EU,Domingo,Mañana,0,0,Low_Cost,0.95
780,2025-11-23,Aer Lingus,EI563,dublin,11:30:00,En hora,186,Airbus A320neo,W,INT,Domingo,Mañana,0,0,Low_Cost,0.96
781,2025-11-23,Grupo easy,EC7139,rennes/saint-jacques,11:45:00,En hora,156,Airbus A319,R,EU,Domingo,Mañana,0,0,Low_Cost,0.95
782,2025-11-23,Icelandair,FI597,keflavik,11:50:00,Retrasado,160,Boeing 737 MAX 8,U,EU,Domingo,Mañana,0,0,Legacy,0.86
788,2025-11-23,Volotea,V72167,lille/lesquin,12:35:00,Retrasado,180,Airbus A320,U,EU,Domingo,Tarde,0,0,Low_Cost,0.95
790,2025-11-23,Pegasus Airlines,PC1092,istanbul,12:45:00,En hora,220,Airbus A321,Y,INT,Domingo,Tarde,0,0,Low_Cost,0.95
793,2025-11-23,Volotea,V71445,olbia,13:05:00,En hora,180,Airbus A320,U,EU,Domingo,Tarde,0,0,Low_Cost,0.95
794,2025-11-23,Grupo wizz,W46330,milan,13:10:00,En hora,239,Airbus A321neo,U,EU,Domingo,Tarde,0,0,Low_Cost,0.97
796,2025-11-23,Grupo easy,U28056,london,13:25:00,En hora,156,Airbus A319,M,INT,Domingo,Tarde,0,0,Low_Cost,0.97
797,2025-11-23,Grupo easy,EC1380,geneva,13:40:00,En hora,180,Airbus A320,R,EU,Domingo,Tarde,0,0,Low_Cost,0.95
800,2025-11-23,Air Baltic,BT684,riga,14:05:00,En hora,148,Airbus A220-300,S,EU,Domingo,Tarde,0,0,Low_Cost,0.97
801,2025-11-23,Grupo easy,EC7153,milan,14:05:00,Retrasado,156,Airbus A319,R,EU,Domingo,Tarde,0,0,Low_Cost,0.97
805,2025-11-23,SunExpress,XQ895,izmir,14:15:00,Retrasado,189,Boeing 737-800,Y,INT,Domingo,Tarde,0,0,Low_Cost,0.95
806,2025-11-23,Transavia,HV5132,amsterdam,14:20:00,Retrasado,189,Boeing 737-800,U,EU,Domingo,Tarde,0,0,Low_Cost,0.95
807,2025-11-23,Grupo easy,EC7107,geneva,14:25:00,En hora,156,Airbus A319,R,EU,Domingo,Tarde,0,0,Low_Cost,0.95
808,2025-11-23,Norwegian Air Sweden AOC,D85502,stockholm,14:40:00,Retrasado,189,Boeing 737-800,S,EU,Domingo,Tarde,0,0,Low_Cost,0.97
809,2025-11-23,Bluebird Airways,BZ251,tel aviv,14:45:00,En hora,180,Airbus A320,Y,INT,Domingo,Tarde,0,0,Low_Cost,0.95
811,2025-11-23,SmartWings,QS1059,prague,14:55:00,En hora,189,Boeing 737-800,U,EU,Domingo,Tarde,0,0,Low_Cost,0.97
815,2025-11-23,Transavia,TO4755,paris,15:15:00,En hora,186,Airbus A320neo,U,EU,Domingo,Tarde,0,0,Low_Cost,0.97
816,2025-11-23,Grupo easy,EC7694,lisbon,15:20:00,Retrasado,180,Airbus A320,R,EU,Domingo,Tarde,0,0,Low_Cost,0.97
818,2025-11-23,Air Arabia Maroc,3O378,tanger,15:35:00,En hora,174,Airbus A320,Y,INT,Domingo,Tarde,0,0,Low_Cost,0.95
819,2025-11-23,Grupo wizz,W46728,venice,15:40:00,En hora,239,Airbus A321neo,U,EU,Domingo,Tarde,0,0,Low_Cost,0.97
822,2025-11-23,Grupo easy,EC7173,berlin,16:30:00,Retrasado,156,Airbus A319,R,EU,Domingo,Tarde,0,0,Low_Cost,0.97
825,2025-11-23,Air Arabia Maroc,3O374,casablanca,17:00:00,En hora,174,Airbus A320,W,INT,Domingo,Tarde,0,0,Low_Cost,0.95
830,2025-11-23,Volotea,V73573,asturias,17:40:00,En hora,156,Airbus A319,S,NAC,Domingo,Tarde,0,0,Low_Cost,0.95
835,2025-11-23,Grupo easy,EC7109,geneva,18:15:00,En hora,156,Airbus A319,R,EU,Domingo,Tarde,0,0,Low_Cost,0.95
836,2025-11-23,Volotea,V73700,vitoria,18:20:00,En hora,180,Airbus A320,S,NAC,Domingo,Tarde,0,0,Low_Cost,0.95
838,2025-11-23,Grupo wizz,W43686,iasi,18:30:00,En hora,180,Airbus A320,S,EU,Domingo,Tarde,0,0,Low_Cost,0.95
839,2025-11-23,Jet2,LS804,manchester,18:35:00,En hora,189,Boeing 737-800,Y,INT,Domingo,Tarde,0,0,Low_Cost,0.97
840,2025-11-23,Grupo easy,EC7103,"basel, switzerland/mulhouse",18:45:00,Retrasado,156,Airbus A319,R,EU,Domingo,Tarde,0,0,Low_Cost,0.95
842,2025-11-23,Transavia,HV6066,rotterdam,18:50:00,Retrasado,189,Boeing 737-800,U,EU,Domingo,Tarde,0,0,Low_Cost,0.95
843,2025-11-23,Grupo easy,U25716,southend,18:55:00,En hora,186,Airbus A320neo,M,INT,Domingo,Tarde,0,0,Low_Cost,0.95
844,2025-11-23,Grupo wizz,W61176,katowice,18:55:00,Retrasado,180,Airbus A320,U,EU,Domingo,Tarde,0,0,Low_Cost,0.95
845,2025-11-23,Grupo wizz,W61478,warsaw,19:00:00,En hora,239,Airbus A321neo,U,EU,Domingo,Tarde,0,0,Low_Cost,0.97
846,2025-11-23,Grupo easy,EC7159,milan,19:05:00,Retrasado,156,Airbus A319,R,EU,Domingo,Tarde,0,0,Low_Cost,0.97
847,2025-11-23,Grupo wizz,W43180,bucharest,19:05:00,En hora,230,Airbus A321,U,EU,Domingo,Tarde,0,0,Low_Cost,0.95
850,2025-11-23,Volotea,V72165,nantes/atlantique,19:30:00,En hora,156,Airbus A319,S,EU,Domingo,Tarde,0,0,Low_Cost,0.95
851,2025-11-23,Eurowings,EW9443,dusseldorf,19:35:00,En hora,150,Airbus A319,U,EU,Domingo,Tarde,0,0,Low_Cost,0.95
852,2025-11-23,Grupo wizz,W64406,sofia,19:35:00,En hora,239,Airbus A321neo,U,EU,Domingo,Tarde,0,0,Low_Cost,0.97
854,2025-11-23,Grupo easy,EC3750,milan,19:45:00,Retrasado,180,Airbus A320,R,EU,Domingo,Tarde,0,0,Low_Cost,0.97
857,2025-11-23,Grupo easy,U28058,london,19:45:00,En hora,156,Airbus A319,M,INT,Domingo,Tarde,0,0,Low_Cost,0.97
858,2025-11-23,Jet2,LS1338,birmingham,19:55:00,Retrasado,232,Airbus A321neo,W,INT,Domingo,Tarde,0,0,Low_Cost,0.97
859,2025-11-23,Grupo wizz,W64666,larnaca,19:55:00,Retrasado,230,Airbus A321,W,INT,Domingo,Tarde,0,0,Low_Cost,0.95
861,2025-11-23,Grupo wizz,W62096,krakow,20:10:00,Retrasado,239,Airbus A321neo,S,EU,Domingo,Noche,0,0,Low_Cost,0.97
862,2025-11-23,Grupo easy,EC4212,napoli,20:20:00,En hora,180,Airbus A320,R,EU,Domingo,Noche,0,0,Low_Cost,0.97
863,2025-11-23,Transavia,HV6788,eindhoven,20:20:00,Retrasado,189,Boeing 737-800,S,EU,Domingo,Noche,0,0,Low_Cost,0.95
864,2025-11-23,Grupo wizz,W67022,bratislava,20:20:00,En hora,239,Airbus A321neo,S,EU,Domingo,Noche,0,0,Low_Cost,0.95
866,2025-11-23,Air Serbia,JU585,belgrade,20:35:00,En hora,144,Airbus A319,Y,INT,Domingo,Noche,0,0,Legacy,0.86
867,2025-11-23,Norwegian Air Sweden AOC,D83659,copenhagen,20:40:00,En hora,189,Boeing 737 MAX 8,S,EU,Domingo,Noche,0,0,Low_Cost,0.97
868,2025-11-23,Eurowings,EW2521,stuttgart,20:40:00,Retrasado,180,Airbus A320neo,U,EU,Domingo,Noche,0,0,Low_Cost,0.95
870,2025-11-23,Luxair,LG3596,luxembourg,20:40:00,Retrasado,186,Boeing 737-800,R,EU,Domingo,Noche,0,0,Legacy,0.86
871,2025-11-23,Transavia,TO4759,paris,20:45:00,En hora,186,Airbus A320neo,U,EU,Domingo,Noche,0,0,Low_Cost,0.97
872,2025-11-23,Grupo wizz,W62378,budapest,20:45:00,Retrasado,239,Airbus A321neo,S,EU,Domingo,Noche,0,0,Low_Cost,0.97
874,2025-11-23,Transavia,HV5134,amsterdam,20:50:00,Retrasado,189,Boeing 737-800,U,EU,Domingo,Noche,0,0,Low_Cost,0.95
876,2025-11-23,Grupo easy,U22326,london,20:55:00,En hora,186,Airbus A320neo,M,INT,Domingo,Noche,0,0,Low_Cost,0.97
877,2025-11-23,Grupo wizz,W64738,skopje,20:55:00,En hora,239,Airbus A321neo,Y,INT,Domingo,Noche,0,0,Low_Cost,0.95
879,2025-11-23,Aer Lingus,EI565,dublin,21:05:00,Retrasado,174,Airbus A320,W,INT,Domingo,Noche,0,0,Low_Cost,0.96
882,2025-11-23,Grupo wizz,W43178,bucharest,21:20:00,En hora,230,Airbus A321,U,EU,Domingo,Noche,0,0,Low_Cost,0.95
883,2025-11-23,Grupo wizz,W43406,cluj-napoca,21:25:00,En hora,180,Airbus A320,S,EU,Domingo,Noche,0,0,Low_Cost,0.95
884,2025-11-23,Grupo easy,U28060,london,21:30:00,En hora,156,Airbus A319,M,INT,Domingo,Noche,0,0,Low_Cost,0.97
885,2025-11-23,Grupo wizz,W46020,rome,21:35:00,Retrasado,239,Airbus A321neo,S,EU,Domingo,Noche,0,0,Low_Cost,0.96
887,2025-11-23,Grupo easy,U22706,bristol,21:50:00,En hora,186,Airbus A320neo,M,INT,Domingo,Noche,0,0,Low_Cost,0.94
888,2025-11-23,Volotea,V71415,verona,21:55:00,Retrasado,180,Airbus A320,S,EU,Domingo,Noche,0,0,Low_Cost,0.95
889,2025-11-23,Grupo wizz,W64116,belgrade,21:55:00,Retrasado,230,Airbus A321,W,INT,Domingo,Noche,0,0,Low_Cost,0.95
890,2025-11-23,Grupo wizz,W45154,tirana,22:45:00,En hora,239,Airbus A321neo,W,INT,Domingo,Noche,0,0,Low_Cost,0.95
892,2025-11-23,Grupo wizz,W61706,gdansk,22:50:00,En hora,239,Airbus A321neo,U,EU,Domingo,Noche,0,0,Low_Cost,0.96
896,2025-11-24,Grupo easy,EC7105,geneva,06:15:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0,Low_Cost,0.95
900,2025-11-24,Grupo easy,EC8062,london,06:45:00,En hora,156,Airbus A319,M,INT,Lunes,Mañana,0,0,Low_Cost,0.97
903,2025-11-24,Grupo easy,EC7141,strasbourg,07:20:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0,Low_Cost,0.95
904,2025-11-24,Grupo easy,EC7151,milan,07:20:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0,Low_Cost,0.97
908,2025-11-24,Norwegian Air Sweden AOC,D85510,copenhagen,08:00:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0,Low_Cost,0.97
911,2025-11-24,Grupo easy,EC1376,geneva,08:45:00,Retrasado,156,Airbus A319,R,EU,Lunes,Mañana,0,0,Low_Cost,0.95
914,2025-11-24,Grupo wizz,W62048,krakow,09:05:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Mañana,0,0,Low_Cost,0.97
915,2025-11-24,Volotea,V72327,strasbourg,09:10:00,Retrasado,180,Airbus A320,S,EU,Lunes,Mañana,0,0,Low_Cost,0.95
916,2025-11-24,Air Arabia Maroc,3O398,rabat,09:20:00,En hora,174,Airbus A320,Y,INT,Lunes,Mañana,0,0,Low_Cost,0.85
917,2025-11-24,Eurowings,EW2521,stuttgart,09:20:00,Retrasado,150,Airbus A319,S,EU,Lunes,Mañana,0,0,Low_Cost,0.95
918,2025-11-24,Grupo wizz,W43176,bucharest,09:25:00,En hora,230,Airbus A321,U,EU,Lunes,Mañana,0,0,Low_Cost,0.95
919,2025-11-24,Grupo wizz,W45088,tirana,09:25:00,En hora,239,Airbus A321neo,W,INT,Lunes,Mañana,0,0,Low_Cost,0.95
920,2025-11-24,Grupo wizz,W62376,budapest,09:25:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Mañana,0,0,Low_Cost,0.97
921,2025-11-24,Volotea,V73573,asturias,09:30:00,En hora,156,Airbus A319,U,NAC,Lunes,Mañana,0,0,Low_Cost,0.95
922,2025-11-24,Grupo easy,EC1030,"basel, switzerland/mulhouse",09:35:00,En hora,180,Airbus A320,R,EU,Lunes,Mañana,0,0,Low_Cost,0.95
924,2025-11-24,Transavia,HV6062,rotterdam,09:40:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0,Low_Cost,0.95
925,2025-11-24,Eurowings,EW9441,dusseldorf,09:45:00,Retrasado,180,Airbus A320,U,EU,Lunes,Mañana,0,0,Low_Cost,0.95
928,2025-11-24,Air Serbia,JU581,belgrade,09:55:00,Retrasado,144,Airbus A319,Y,INT,Lunes,Mañana,0,0,Legacy,0.86
929,2025-11-24,Grupo easy,EC7656,lisbon,10:00:00,Retrasado,230,Airbus A321,R,EU,Lunes,Mañana,0,0,Low_Cost,0.97
930,2025-11-24,Transavia,HV5132,amsterdam,10:05:00,Retrasado,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0,Low_Cost,0.95
931,2025-11-24,Grupo wizz,W46018,rome,10:05:00,En hora,239,Airbus A321neo,U,EU,Lunes,Mañana,0,0,Low_Cost,0.96
933,2025-11-24,Grupo wizz,W61476,warsaw,10:15:00,Retrasado,239,Airbus A321neo,U,EU,Lunes,Mañana,0,0,Low_Cost,0.97
935,2025-11-24,Grupo easy,U22324,london,10:25:00,En hora,186,Airbus A320neo,M,INT,Lunes,Mañana,0,0,Low_Cost,0.97
937,2025-11-24,Grupo easy,EC7131,nice/cote d'azur,10:40:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0,Low_Cost,0.95
938,2025-11-24,Grupo easy,U28056,london,10:40:00,En hora,180,Airbus A320,M,INT,Lunes,Mañana,0,0,Low_Cost,0.97
944,2025-11-24,Grupo easy,U22002,manchester,11:20:00,En hora,180,Airbus A320,M,INT,Lunes,Mañana,0,0,Low_Cost,0.97
945,2025-11-24,Aer Lingus,EI563,dublin,11:30:00,En hora,174,Airbus A320,W,INT,Lunes,Mañana,0,0,Low_Cost,0.96
947,2025-11-24,Transavia,TO4755,paris,11:30:00,En hora,189,Boeing 737-800,S,EU,Lunes,Mañana,0,0,Low_Cost,0.97
949,2025-11-24,Grupo easy,EC7197,birmingham,11:40:00,En hora,156,Airbus A319,M,INT,Lunes,Mañana,0,0,Low_Cost,0.97
952,2025-11-24,Jet2,LS232,leeds bradford,12:00:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde,0,0,Low_Cost,0.95
956,2025-11-24,Pegasus Airlines,PC1092,istanbul,12:45:00,Retrasado,180,Airbus A320,W,INT,Lunes,Tarde,0,0,Low_Cost,0.95
957,2025-11-24,Norwegian Air Sweden AOC,D83657,copenhagen,12:50:00,En hora,189,Boeing 737-800,S,EU,Lunes,Tarde,0,0,Low_Cost,0.97
958,2025-11-24,Grupo easy,EC7137,lyon,12:55:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde,0,0,Low_Cost,0.95
959,2025-11-24,Grupo wizz,W67022,bratislava,12:55:00,En hora,239,Airbus A321neo,S,EU,Lunes,Tarde,0,0,Low_Cost,0.95
961,2025-11-24,Grupo wizz,W46330,milan,13:10:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Tarde,0,0,Low_Cost,0.97
963,2025-11-24,HiSky,H4264,bucharest,13:20:00,En hora,186,Airbus A320,U,EU,Lunes,Tarde,0,0,Low_Cost,0.95
964,2025-11-24,Norwegian Air Sweden AOC,D81741,oslo,13:25:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0,Low_Cost,0.95
965,2025-11-24,Eurowings,EW521,cologne-bonn,13:25:00,En hora,180,Airbus A320,S,EU,Lunes,Tarde,0,0,Low_Cost,0.97
966,2025-11-24,Pegasus Airlines,PC1528,izmir,13:30:00,Retrasado,180,Airbus A320,W,INT,Lunes,Tarde,0,0,Low_Cost,0.95
967,2025-11-24,Luxair,LG3592,luxembourg,13:35:00,Retrasado,76,de Havilland Dash 8-400,U,EU,Lunes,Tarde,0,0,Legacy,0.86
968,2025-11-24,Grupo easy,EC7153,milan,13:40:00,Retrasado,156,Airbus A319,R,EU,Lunes,Tarde,0,0,Low_Cost,0.97
970,2025-11-24,Turkish Airlines,TK608,ankara,13:40:00,Retrasado,165,Boeing 737-800,Y,INT,Lunes,Tarde,0,0,Legacy,0.86
972,2025-11-24,Jet2,LS804,manchester,13:50:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde,0,0,Low_Cost,0.97
974,2025-11-24,Air Baltic,BT684,riga,14:05:00,Retrasado,148,Airbus A220-300,S,EU,Lunes,Tarde,0,0,Low_Cost,0.97
976,2025-11-24,Norwegian Air Sweden AOC,D85502,stockholm,14:40:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0,Low_Cost,0.97
977,2025-11-24,Bluebird Airways,BZ251,tel aviv,14:45:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde,0,0,Low_Cost,0.95
978,2025-11-24,Grupo easy,EC7107,geneva,14:45:00,Retrasado,156,Airbus A319,R,EU,Lunes,Tarde,0,0,Low_Cost,0.95
979,2025-11-24,Volotea,V71443,ancona,14:45:00,En hora,180,Airbus A320,U,EU,Lunes,Tarde,0,0,Low_Cost,0.95
980,2025-11-24,Grupo wizz,W64406,sofia,14:50:00,Retrasado,180,Airbus A320,U,EU,Lunes,Tarde,0,0,Low_Cost,0.97
981,2025-11-24,Grupo easy,EC4212,napoli,14:55:00,Retrasado,180,Airbus A320,R,EU,Lunes,Tarde,0,0,Low_Cost,0.97
982,2025-11-24,SmartWings,QS1059,prague,14:55:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0,Low_Cost,0.97
983,2025-11-24,Air Arabia Maroc,3O376,al aaroui,15:00:00,En hora,174,Airbus A320,Y,INT,Lunes,Tarde,0,0,Low_Cost,0.93
986,2025-11-24,Grupo wizz,W46728,venice,15:40:00,Retrasado,239,Airbus A321neo,U,EU,Lunes,Tarde,0,0,Low_Cost,0.97
987,2025-11-24,Pegasus Airlines,PC1094,istanbul,15:45:00,Retrasado,220,Airbus A321,W,INT,Lunes,Tarde,0,0,Low_Cost,0.95
990,2025-11-24,Grupo wizz,W43564,timisoara,16:25:00,En hora,180,Airbus A320,U,EU,Lunes,Tarde,0,0,Low_Cost,0.95
991,2025-11-24,Volotea,V73735,murcia,16:35:00,En hora,180,Airbus A320,S,NAC,Lunes,Tarde,0,0,Low_Cost,0.95
996,2025-11-24,Grupo easy,U23372,liverpool,17:00:00,En hora,156,Airbus A319,M,INT,Lunes,Tarde,0,0,Low_Cost,0.92
999,2025-11-24,Grupo easy,EC7173,berlin,17:10:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde,0,0,Low_Cost,0.97
1000,2025-11-24,Volotea,V73700,vitoria,17:15:00,En hora,156,Airbus A319,S,NAC,Lunes,Tarde,0,0,Low_Cost,0.95
1001,2025-11-24,Grupo wizz,W67920,kopitnari,17:15:00,En hora,239,Airbus A321neo,W,INT,Lunes,Tarde,0,0,Low_Cost,0.95
1004,2025-11-24,Grupo easy,EC3737,milan,17:35:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde,0,0,Low_Cost,0.97
1005,2025-11-24,Grupo easy,EC7199,edinburgh,17:35:00,En hora,156,Airbus A319,M,INT,Lunes,Tarde,0,0,Low_Cost,0.97
1006,2025-11-24,Transavia,HV5134,amsterdam,17:50:00,En hora,232,Airbus A321neo,U,EU,Lunes,Tarde,0,0,Low_Cost,0.95
1009,2025-11-24,Grupo easy,EC7205,southampton,18:05:00,En hora,156,Airbus A319,M,INT,Lunes,Tarde,0,0,Low_Cost,0.95
1011,2025-11-24,Grupo wizz,W43686,iasi,18:30:00,En hora,180,Airbus A320,S,EU,Lunes,Tarde,0,0,Low_Cost,0.95
