,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time,festivo,Visper_fest,Airline_Type,OCC
107,2025-11-17,Grupo easy,EC7173,berlin,17:10:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde,0,0,Low_Cost,0.97
108,2025-11-17,Volotea,V73700,vitoria,17:15:00,En hora,156,Airbus A319,S,NAC,Lunes,Tarde,0,0,Low_Cost,0.95
109,2025-11-17,Grupo wizz,W67920,kopitnari,17:15:00,Retrasado,239,Airbus A321neo,W,INT,Lunes,Tarde,0,0,Low_Cost,0.95
112,2025-11-17,Grupo easy,EC3737,milan,17:35:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde,0,0,Low_Cost,0.97
113,2025-11-17,Grupo easy,EC7199,edinburgh,17:35:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde,0,0,Low_Cost,0.97
114,2025-11-17,Transavia,HV5134,amsterdam,17:50:00,Retrasado,232,Airbus A321neo,R,EU,Lunes,Tarde,0,0,Low_Cost,0.95
117,2025-11-17,Grupo easy,EC7205,southampton,18:05:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde,0,0,Low_Cost,0.95
119,2025-11-17,Grupo wizz,W43686,iasi,18:30:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde,0,0,Low_Cost,0.95
121,2025-11-17,Grupo wizz,W61478,warsaw,19:00:00,En hora,239,Airbus A321neo,S,EU,Lunes,Tarde,0,0,Low_Cost,0.97
125,2025-11-17,Eurowings,EW7521,hamburg,19:40:00,En hora,180,Airbus A320,U,EU,Lunes,Tarde,0,0,Low_Cost,0.95
127,2025-11-17,Grupo wizz,W61706,gdansk,19:40:00,En hora,239,Airbus A321neo,S,EU,Lunes,Tarde,0,0,Low_Cost,0.97
130,2025-11-17,Grupo easy,U28058,london,19:45:00,En hora,156,Airbus A319,M,INT,Lunes,Tarde,0,0,Low_Cost,0.97
131,2025-11-17,Volotea,V71415,verona,19:55:00,En hora,180,Airbus A320,U,EU,Lunes,Tarde,0,0,Low_Cost,0.95
132,2025-11-17,Grupo wizz,W64666,larnaca,19:55:00,En hora,230,Airbus A321,W,INT,Lunes,Tarde,0,0,Low_Cost,0.95
134,2025-11-17,Air Arabia Maroc,3O378,tanger,20:05:00,En hora,174,Airbus A320,W,INT,Lunes,Noche,0,0,Low_Cost,0.95
138,2025-11-17,Grupo easy,EC1956,milan,20:15:00,En hora,180,Airbus A320,R,EU,Lunes,Noche,0,0,Low_Cost,0.97
139,2025-11-17,Grupo wizz,W42940,vienna,20:20:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Noche,0,0,Low_Cost,0.97
140,2025-11-17,Grupo easy,EC1010,"basel, switzerland/mulhouse",20:30:00,En hora,156,Airbus A319,R,EU,Lunes,Noche,0,0,Low_Cost,0.95
141,2025-11-17,T'Way Air,TW408,seoul/incheon,20:30:00,En hora,246,Airbus A330-200,W,INT,Lunes,Noche,0,0,Low_Cost,0.95
142,2025-11-17,Volotea,V72135,bordeaux,20:30:00,En hora,180,Airbus A320,S,EU,Lunes,Noche,0,0,Low_Cost,0.95
143,2025-11-17,Air Serbia,JU585,belgrade,20:35:00,En hora,144,Airbus A319,W,INT,Lunes,Noche,0,0,Legacy,0.86
146,2025-11-17,Transavia,TO4759,paris,20:45:00,En hora,186,Airbus A320neo,U,EU,Lunes,Noche,0,0,Low_Cost,0.97
147,2025-11-17,Grupo wizz,W62378,budapest,20:45:00,Retrasado,239,Airbus A321neo,U,EU,Lunes,Noche,0,0,Low_Cost,0.97
150,2025-11-17,Volotea,V72165,nantes/atlantique,20:50:00,Retrasado,156,Airbus A319,R,EU,Lunes,Noche,0,0,Low_Cost,0.95
152,2025-11-17,Aer Lingus,EI565,dublin,21:05:00,En hora,174,Airbus A320,Y,INT,Lunes,Noche,0,0,Low_Cost,0.96
155,2025-11-17,Grupo easy,EC1380,geneva,21:20:00,Retrasado,180,Airbus A320,R,EU,Lunes,Noche,0,0,Low_Cost,0.95
156,2025-11-17,Grupo wizz,W43178,bucharest,21:20:00,Retrasado,230,Airbus A321,S,EU,Lunes,Noche,0,0,Low_Cost,0.95
157,2025-11-17,Grupo wizz,W43406,cluj-napoca,21:25:00,En hora,180,Airbus A320,S,EU,Lunes,Noche,0,0,Low_Cost,0.95
160,2025-11-17,Grupo wizz,W46020,rome,21:35:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Noche,0,0,Low_Cost,0.96
165,2025-11-17,Grupo easy,U22706,bristol,21:55:00,En hora,180,Airbus A320,M,INT,Lunes,Noche,0,0,Low_Cost,0.93
166,2025-11-17,Grupo wizz,W64116,belgrade,21:55:00,En hora,239,Airbus A321neo,Y,INT,Lunes,Noche,0,0,Low_Cost,0.95
168,2025-11-17,Grupo wizz,W45154,tirana,22:45:00,En hora,230,Airbus A321,W,INT,Lunes,Noche,0,0,Low_Cost,0.95
169,2025-11-18,Grupo easy,EC7105,geneva,06:00:00,En hora,156,Airbus A319,R,EU,Martes,Mañana,0,0,Low_Cost,0.95
173,2025-11-18,Grupo easy,EC8062,london,07:30:00,En hora,156,Airbus A319,R,EU,Martes,Mañana,0,0,Low_Cost,0.97
177,2025-11-18,Grupo easy,EC3737,milan,08:00:00,En hora,180,Airbus A320,R,EU,Martes,Mañana,0,0,Low_Cost,0.97
