,Unnamed: 0,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate
596,718.0,21/11/2025 14-58-40,Ryanair,FR5710,Napoli (NAP),20:50,Ha salido,197.0,Boeing 737 MAX 8,U
597,719.0,21/11/2025 14-58-40,Transavia,TO4759,Paris (ORY),20:50,"Retrasado, Ha salido",186.0,Airbus A320neo,U
598,720.0,21/11/2025 14-58-40,Easyjet,U22326,London (LTN),20:55,Ha salido,180.0,Airbus A320,M
599,721.0,21/11/2025 14-58-40,BUZZ,RR8394,Budapest (BUD),21:00,Ha salido,189.0,Boeing 737-800,S
600,722.0,21/11/2025 14-58-40,Aer Lingus,EI565,Dublin (DUB),21:05,Ha salido,180.0,Airbus A320,Y
601,723.0,21/11/2025 14-58-40,Easyjet,U23374,Liverpool (LPL),21:05,Ha salido,180.0,Airbus A320,M
602,724.0,21/11/2025 14-58-40,Ryanair,FR3174,Ibiza (IBZ),21:10,Ha salido,189.0,Boeing 737-800,R
603,725.0,21/11/2025 14-58-40,easyJet Europe,EC1380,Geneva (GVA),21:15,"Retrasado, Ha salido",180.0,Airbus A320,R
604,726.0,21/11/2025 14-58-40,Wizz Air Malta,W43178,Bucharest (BBU),21:20,Ha salido,230.0,Airbus A321,U
605,727.0,21/11/2025 14-58-40,Wizz Air Malta,W43406,Cluj-Napoca (CLJ),21:25,Ha salido,186.0,Airbus A320neo,R
606,728.0,21/11/2025 14-58-40,BUZZ,RR6944,Warsaw (WMI),21:30,Ha salido,189.0,Boeing 737-800,U
607,729.0,21/11/2025 14-58-40,Ryanair,FR7808,London (LTN),21:35,"Retrasado, Ha salido",189.0,Boeing 737-800,Y
608,730.0,21/11/2025 14-58-40,Wizz Air Malta,W46020,Rome (FCO),21:35,"Retrasado, Programado",239.0,Airbus A321neo,S
609,731.0,21/11/2025 14-58-40,Ryanair,FR8669,Dublin (DUB),21:40,"Retrasado, Ha salido",189.0,Boeing 737-800,Y
610,732.0,21/11/2025 14-58-40,Ryanair,FR9811,London (STN),21:40,"Retrasado, Ha salido",189.0,Boeing 737-800,Y
611,733.0,21/11/2025 14-58-40,Ryanair,FR2495,Palma de Mallorca (PMI),21:45,Ha salido,189.0,Boeing 737-800,S
612,734.0,21/11/2025 14-58-40,Ryanair,FR6597,Manchester (MAN),21:45,Programado,189.0,Boeing 737-800,W
613,735.0,21/11/2025 14-58-40,Ryanair,FR2250,Marrakech (RAK),21:55,Ha salido,189.0,Boeing 737-800,W
614,736.0,21/11/2025 14-58-40,Wizz Air,W64116,Belgrade (BEG),21:55,"Retrasado, Ha salido",239.0,Airbus A321neo,W
615,737.0,21/11/2025 14-58-40,Ryanair,FR3080,Malaga (AGP),22:30,Programado,197.0,Boeing 737 MAX 8,S
616,738.0,21/11/2025 14-58-40,Wizz Air Malta,W45154,Tirana (TIA),22:45,Programado,230.0,Airbus A321,Y
617,739.0,21/11/2025 14-58-40,Wizz Air,W61706,Gdansk (GDN),22:50,Ha salido,239.0,Airbus A321neo,S
618,740.0,21/11/2025 14-58-40,Ryanair,FR9814,London (STN),23:10,Programado,189.0,Boeing 737-800,W
619,,22/Nov/2025,Ryanair,FR846,Milan (BGY),06:00,"Retrasado, Ha salido 06:15",189.0,Boeing 737-800,S21
620,,22/Nov/2025,easyJet Europe,EC7105,Geneva (GVA),06:10,"En hora, Ha salido",156.0,Airbus A319,R9
621,,22/Nov/2025,Ryanair,FR5718,Bratislava (BTS),06:10,"En hora, Ha salido",189.0,Boeing 737-800,S22
622,,22/Nov/2025,Ryanair,FR4545,Porto (OPO),06:15,"En hora, Ha salido",197.0,Boeing 737 MAX 8,U31
623,,22/Nov/2025,Ryanair,FR1342,Palma de Mallorca (PMI),06:20,"En hora, Ha salido",189.0,Boeing 737-800,S24
624,,22/Nov/2025,Ryanair,FR777,Venice (VCE),06:30,"Retrasado, Ha salido 06:43",189.0,Boeing 737-800,S23
625,,22/Nov/2025,easyJet Europe,EC7151,Milan (MXP),07:30,"En hora, Ha salido",156.0,Airbus A319,R10
626,,22/Nov/2025,Ryanair,FR2918,Brussels (BRU),08:05,"En hora, Ha salido",189.0,Boeing 737-800,S20
627,,22/Nov/2025,Ryanair,FR3180,Rome (FCO),08:15,"En hora, Ha salido",189.0,Boeing 737-800,U32
628,,22/Nov/2025,Air Arabia Maroc,3O376,Al Aaroui (NDR),08:35,"En hora, Ha salido",180.0,Airbus A320,W45
629,,22/Nov/2025,Ryanair,FR1165,Palma de Mallorca (PMI),08:50,"En hora, Ha salido",189.0,Boeing 737-800,R12
630,,22/Nov/2025,Ryanair,FR575,Bologna (BLQ),08:50,"En hora, Ha salido",189.0,Boeing 737-800,U35
631,,22/Nov/2025,Ryanair,FR3166,Palermo (PMO),09:00,"En hora, Ha salido",189.0,Boeing 737-800,S25
632,,22/Nov/2025,Wizz Air Malta,W43938,Chisinau (KIV),09:00,"En hora, Ha salido",180.0,Airbus A320,Y57
633,,22/Nov/2025,Wizz Air,W62048,Krakow (KRK),09:05,"En hora, Ha salido",239.0,Airbus A321neo,S21
634,,22/Nov/2025,Ryanair,FR2834,Charleroi (CRL),09:15,"Retrasado, Ha salido 10:20",189.0,Boeing 737-800,U32
635,,22/Nov/2025,Transavia,TO4751,Paris (ORY),09:15,"En hora, Ha salido",189.0,Boeing 737-800,U36
636,,22/Nov/2025,Ryanair,FR133,Berlin (BER),09:20,"En hora, Ha salido",189.0,Boeing 737-800,U31
637,,22/Nov/2025,Ryanair,FR2239,Marrakech (RAK),09:20,"En hora, Ha salido",189.0,Boeing 737-800,W44
638,,22/Nov/2025,Ryanair,FR3028,Ibiza (IBZ),09:20,"En hora, Ha salido",189.0,Boeing 737-800,S24
639,,22/Nov/2025,Wizz Air,W61914,Vilnius (VNO),09:20,"En hora, Ha salido",239.0,Airbus A321neo,S23
640,,22/Nov/2025,Wizz Air Malta,W43176,Bucharest (OTP),09:25,"Retrasado, Ha salido 09:48",239.0,Airbus A321neo,U38
641,,22/Nov/2025,Wizz Air,W62376,Budapest (BUD),09:25,"En hora, Ha salido",239.0,Airbus A321neo,U34
642,,22/Nov/2025,BUZZ,RR3049,Krakow (KRK),09:30,"En hora, Ha salido",189.0,Boeing 737-800,U33
643,,22/Nov/2025,Wizz Air Malta,W42938,Vienna (VIE),09:35,"En hora, Ha salido",239.0,Airbus A321neo,S22
644,,22/Nov/2025,Air Serbia,JU581,Belgrade (BEG),09:55,"En hora, Ha salido",156.0,Airbus A319,Y58
645,,22/Nov/2025,Ryanair,FR6559,Liverpool (LPL),10:00,"En hora, Ha salido",189.0,Boeing 737-800,W45
646,,22/Nov/2025,Wizz Air Malta,W46018,Rome (FCO),10:00,"En hora, Ha salido",239.0,Airbus A321neo,S20
647,,22/Nov/2025,Transavia,HV5132,Amsterdam (AMS),10:05,"Retrasado, Ha salido 10:24",239.0,Airbus A321neo,U35
648,,22/Nov/2025,Wizz Air,W61476,Warsaw (WAW),10:15,"En hora, Ha salido",239.0,Airbus A321neo,R14
649,,22/Nov/2025,Ryanair,FR9171,Stockholm (ARN),10:20,"En hora, Ha salido",197.0,Boeing 737 MAX 8,R11
650,,22/Nov/2025,Easyjet,U22326,London (LTN),10:20,"En hora, Ha salido",180.0,Airbus A320,M6
651,,22/Nov/2025,Ryanair,FR3168,Newcastle (NCL),10:25,"En hora, Ha salido",189.0,Boeing 737-800,W42
652,,22/Nov/2025,Ryanair,FR9307,Cork (ORK),10:30,"En hora, Ha salido",197.0,Boeing 737 MAX 8,Y55
653,,22/Nov/2025,Lauda Europe,LW12,Vienna (VIE),10:30,"Retrasado, Ha salido 10:50",180.0,Airbus A320,R13
654,,22/Nov/2025,Easyjet,U28056,London (LGW),10:35,"En hora, Ha salido",156.0,Airbus A319,M8
655,,22/Nov/2025,Azerbaijan Airlines,J246,Baku (GYD),10:45,"En hora, Ha salido",186.0,Airbus A320neo,Y57
656,,22/Nov/2025,SkyUp MT,U5406,Chisinau (KIV),10:50,"En hora, Ha salido",149.0,Boeing 737-700,W46
