,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time
130,2025-11-17,Grupo easy,U28058,London (LGW),19:45:00,En hora,156,Airbus A319,M,INT,Lunes,Tarde
131,2025-11-17,Volotea,V71415,Verona (VRN),19:55:00,En hora,180,Airbus A320,U,EU,Lunes,Tarde
132,2025-11-17,Grupo wizz,W64666,Larnaca (LCA),19:55:00,En hora,230,Airbus A321,W,INT,Lunes,Tarde
133,2025-11-17,Grupo Ryanair,FR3080,Malaga (AGP),20:00:00,En hora,189,Boeing 737-800,S,NAC,Lunes,Noche
134,2025-11-17,Air Arabia Maroc,3O378,Tanger (TNG),20:05:00,En hora,174,Airbus A320,W,INT,Lunes,Noche
135,2025-11-17,Grupo Ryanair,FR3807,Charleroi (CRL),20:05:00,En hora,189,Boeing 737-800,S,EU,Lunes,Noche
136,2025-11-17,Grupo Ryanair,FR6341,Rome (FCO),20:10:00,En hora,189,Boeing 737-800,S,EU,Lunes,Noche
137,2025-11-17,Grupo Ryanair,FR6597,Manchester (MAN),20:10:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Noche
138,2025-11-17,Grupo easy,EC1956,Milan (LIN),20:15:00,En hora,180,Airbus A320,R,EU,Lunes,Noche
139,2025-11-17,Grupo wizz,W42940,Vienna (VIE),20:20:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Noche
140,2025-11-17,Grupo easy,EC1010,"Basel, Switzerland/Mulhouse (BSL)",20:30:00,En hora,156,Airbus A319,R,EU,Lunes,Noche
141,2025-11-17,T'Way Air,TW408,Seoul/Incheon (ICN),20:30:00,En hora,246,Airbus A330-200,W,INT,Lunes,Noche
142,2025-11-17,Volotea,V72135,Bordeaux (BOD),20:30:00,En hora,180,Airbus A320,S,EU,Lunes,Noche
143,2025-11-17,Air Serbia,JU585,Belgrade (BEG),20:35:00,En hora,144,Airbus A319,W,INT,Lunes,Noche
144,2025-11-17,Grupo Ryanair,FR5710,Napoli (NAP),20:40:00,En hora,189,Boeing 737-800,U,EU,Lunes,Noche
145,2025-11-17,Grupo Ryanair,RR8394,Budapest (BUD),20:40:00,Retrasado,197,Boeing 737 MAX 8,U,EU,Lunes,Noche
146,2025-11-17,Transavia,TO4759,Paris (ORY),20:45:00,En hora,186,Airbus A320neo,U,EU,Lunes,Noche
147,2025-11-17,Grupo wizz,W62378,Budapest (BUD),20:45:00,Retrasado,239,Airbus A321neo,U,EU,Lunes,Noche
148,2025-11-17,Grupo Ryanair,FR2098,Bologna (BLQ),20:50:00,En hora,189,Boeing 737-800,U,EU,Lunes,Noche
149,2025-11-17,Grupo Ryanair,FR3928,Trieste (TRS),20:50:00,En hora,189,Boeing 737-800,R,EU,Lunes,Noche
150,2025-11-17,Volotea,V72165,Nantes/Atlantique (NTE),20:50:00,Retrasado,156,Airbus A319,R,EU,Lunes,Noche
151,2025-11-17,Grupo Ryanair,FR878,Venice (VCE),20:55:00,En hora,189,Boeing 737-800,U,EU,Lunes,Noche
152,2025-11-17,Aer Lingus,EI565,Dublin (DUB),21:05:00,En hora,174,Airbus A320,Y,INT,Lunes,Noche
153,2025-11-17,Grupo Ryanair,FR6275,Edinburgh (EDI),21:05:00,En hora,197,Boeing 737 MAX 8,Y,INT,Lunes,Noche
154,2025-11-17,Grupo Ryanair,FR6920,Dublin (DUB),21:10:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Noche
155,2025-11-17,Grupo easy,EC1380,Geneva (GVA),21:20:00,Retrasado,180,Airbus A320,R,EU,Lunes,Noche
156,2025-11-17,Grupo wizz,W43178,Bucharest (BBU),21:20:00,Retrasado,230,Airbus A321,S,EU,Lunes,Noche
157,2025-11-17,Grupo wizz,W43406,Cluj-Napoca (CLJ),21:25:00,En hora,180,Airbus A320,S,EU,Lunes,Noche
158,2025-11-17,Grupo Ryanair,FR2402,Sevilla (SVQ),21:30:00,Retrasado,189,Boeing 737-800,U,NAC,Lunes,Noche
159,2025-11-17,Grupo Ryanair,RR4084,Warsaw (WMI),21:30:00,Retrasado,189,Boeing 737-800,R,EU,Lunes,Noche
160,2025-11-17,Grupo wizz,W46020,Rome (FCO),21:35:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Noche
161,2025-11-17,Grupo Ryanair,FR3168,Newcastle (NCL),21:45:00,En hora,189,Boeing 737-800,W,INT,Lunes,Noche
162,2025-11-17,Grupo Ryanair,FR4587,Porto (OPO),21:45:00,En hora,197,Boeing 737 MAX 8,S,EU,Lunes,Noche
163,2025-11-17,Grupo Ryanair,FR1527,Valletta (MLA),21:50:00,Retrasado,197,Boeing 737 MAX 8,S,EU,Lunes,Noche
