,fecha_scrapeo,Num_flight,Name_Destiny,Time_flight,flight_capacity,Type_f,week_day,day_time,festivo,Visper_fest,OCC,Name_company,Airline_Type
98,2025-11-18,FR1165,sevilla,17:05:00,197,NAC,Martes,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
99,2025-11-18,FR575,bologna,17:25:00,197,EU,Martes,Tarde,0,0,0.97,Grupo Ryanair,Low_Cost
100,2025-11-18,FR3180,rome,18:00:00,189,EU,Martes,Tarde,0,0,0.95,Grupo Ryanair,Low_Cost
101,2025-11-18,FR6300,sofia,18:15:00,197,EU,Martes,Tarde,0,0,0.97,Grupo Ryanair,Low_Cost
102,2025-11-18,FR777,venice,18:40:00,189,EU,Martes,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
103,2025-11-18,FR2834,charleroi,18:45:00,197,EU,Martes,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
104,2025-11-18,FR9015,london,19:25:00,189,INT,Martes,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
105,2025-11-18,FR4084,warsaw,20:15:00,189,EU,Martes,Noche,0,0,0.98,Grupo Ryanair,Low_Cost
106,2025-11-18,FR6394,dublin,21:15:00,197,INT,Martes,Noche,0,0,0.95,Grupo Ryanair,Low_Cost
107,2025-11-18,FR4585,porto,22:00:00,197,EU,Martes,Noche,0,0,0.92,Grupo Ryanair,Low_Cost
108,2025-11-19,FR2918,brussels,06:05:00,189,EU,Miércoles,Mañana,0,0,0.95,Grupo Ryanair,Low_Cost
109,2025-11-19,FR3185,rabat,06:05:00,189,INT,Miércoles,Mañana,0,0,0.89,Grupo Ryanair,Low_Cost
110,2025-11-19,FR9406,fes,06:05:00,189,INT,Miércoles,Mañana,0,0,0.93,Grupo Ryanair,Low_Cost
111,2025-11-19,FR483,malaga,06:15:00,189,NAC,Miércoles,Mañana,0,0,0.95,Grupo Ryanair,Low_Cost
112,2025-11-19,FR2239,marrakech,06:35:00,189,INT,Miércoles,Mañana,0,0,0.91,Grupo Ryanair,Low_Cost
113,2025-11-19,FR3028,ibiza,06:45:00,189,NAC,Miércoles,Mañana,0,0,0.56,Grupo Ryanair,Low_Cost
114,2025-11-19,FR3108,luxembourg,06:50:00,197,EU,Miércoles,Mañana,0,0,0.97,Grupo Ryanair,Low_Cost
115,2025-11-19,FR8384,budapest,09:30:00,189,EU,Miércoles,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
116,2025-11-19,FR2834,charleroi,09:45:00,197,EU,Miércoles,Mañana,0,0,0.96,Grupo Ryanair,Low_Cost
117,2025-11-19,FR4545,porto,09:45:00,197,EU,Miércoles,Mañana,0,0,0.92,Grupo Ryanair,Low_Cost
118,2025-11-19,FR3049,krakow,09:55:00,197,EU,Miércoles,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
119,2025-11-19,FR3078,lisbon,10:15:00,189,EU,Miércoles,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
120,2025-11-19,FR3039,prague,10:20:00,189,EU,Miércoles,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
121,2025-11-19,FR6267,edinburgh,10:45:00,197,INT,Miércoles,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
122,2025-11-19,FR2507,cologne-bonn,11:00:00,197,EU,Miércoles,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
123,2025-11-19,FR575,bologna,11:40:00,189,EU,Miércoles,Mañana,0,0,0.97,Grupo Ryanair,Low_Cost
124,2025-11-19,FR9925,frankfurt-hahn,12:35:00,189,EU,Miércoles,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
125,2025-11-19,FR6597,manchester,13:00:00,197,INT,Miércoles,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
126,2025-11-19,FR3792,birmingham,13:10:00,189,INT,Miércoles,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
127,2025-11-19,FR777,venice,15:10:00,197,EU,Miércoles,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
128,2025-11-19,FR12,vienna,15:15:00,197,EU,Miércoles,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
129,2025-11-19,FR3035,krakow,16:15:00,197,EU,Miércoles,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
130,2025-11-19,FR3928,trieste,16:50:00,189,EU,Miércoles,Tarde,0,0,0.97,Grupo Ryanair,Low_Cost
131,2025-11-19,FR5718,bratislava,16:50:00,189,EU,Miércoles,Tarde,0,0,0.95,Grupo Ryanair,Low_Cost
132,2025-11-19,FR4585,porto,17:30:00,189,EU,Miércoles,Tarde,0,0,0.93,Grupo Ryanair,Low_Cost
133,2025-11-19,FR3180,rome,18:00:00,189,EU,Miércoles,Tarde,0,0,0.95,Grupo Ryanair,Low_Cost
134,2025-11-19,FR8231,london,19:00:00,189,INT,Miércoles,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
135,2025-11-19,FR1165,sevilla,19:10:00,197,NAC,Miércoles,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
136,2025-11-19,FR9334,marrakech,19:10:00,189,INT,Miércoles,Tarde,0,0,0.93,Grupo Ryanair,Low_Cost
137,2025-11-19,FR1342,palma de mallorca,19:15:00,189,NAC,Miércoles,Tarde,0,0,0.91,Grupo Ryanair,Low_Cost
138,2025-11-19,FR133,berlin,19:35:00,197,EU,Miércoles,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
139,2025-11-19,FR3143,milan,19:55:00,189,EU,Miércoles,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
140,2025-11-19,FR58,napoli,20:10:00,197,EU,Miércoles,Noche,0,0,0.99,Grupo Ryanair,Low_Cost
141,2025-11-19,FR5246,vilnius,20:10:00,197,EU,Miércoles,Noche,0,0,0.99,Grupo Ryanair,Low_Cost
142,2025-11-19,FR6394,dublin,22:05:00,189,INT,Miércoles,Noche,0,0,0.95,Grupo Ryanair,Low_Cost
143,2025-11-20,FR8215,london,06:00:00,189,INT,Jueves,Mañana,0,0,0.97,Grupo Ryanair,Low_Cost
144,2025-11-20,FR2918,brussels,06:05:00,189,EU,Jueves,Mañana,0,0,0.95,Grupo Ryanair,Low_Cost
145,2025-11-20,FR3976,dublin,06:15:00,197,INT,Jueves,Mañana,0,0,0.93,Grupo Ryanair,Low_Cost
146,2025-11-20,FR3049,krakow,06:40:00,197,EU,Jueves,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
147,2025-11-20,FR3028,ibiza,06:45:00,189,NAC,Jueves,Mañana,0,0,0.56,Grupo Ryanair,Low_Cost
148,2025-11-20,FR2495,palma de mallorca,07:20:00,180,NAC,Jueves,Mañana,0,0,0.67,Grupo Ryanair,Low_Cost
149,2025-11-20,FR133,berlin,07:25:00,189,EU,Jueves,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
150,2025-11-20,FR2507,cologne-bonn,07:45:00,197,EU,Jueves,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
151,2025-11-20,FR575,bologna,08:05:00,189,EU,Jueves,Mañana,0,0,0.97,Grupo Ryanair,Low_Cost
152,2025-11-20,FR774,torino,08:05:00,189,EU,Jueves,Mañana,0,0,0.97,Grupo Ryanair,Low_Cost
153,2025-11-20,FR3928,trieste,08:40:00,189,EU,Jueves,Mañana,0,0,0.97,Grupo Ryanair,Low_Cost
154,2025-11-20,FR6973,rome,08:40:00,189,EU,Jueves,Mañana,0,0,0.94,Grupo Ryanair,Low_Cost
155,2025-11-20,FR5710,napoli,09:05:00,189,EU,Jueves,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
156,2025-11-20,FR12,vienna,09:10:00,180,EU,Jueves,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
157,2025-11-20,FR3320,milan,09:30:00,189,EU,Jueves,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
158,2025-11-20,FR1279,copenhagen,10:00:00,197,EU,Jueves,Mañana,0,0,0.97,Grupo Ryanair,Low_Cost
159,2025-11-20,FR1165,sevilla,10:20:00,189,NAC,Jueves,Mañana,0,0,0.96,Grupo Ryanair,Low_Cost
160,2025-11-20,FR3121,paris,10:25:00,189,EU,Jueves,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
