,fecha_scrapeo,Num_flight,Name_Destiny,Time_flight,flight_capacity,Type_f,week_day,day_time,OCC,OCC_pred
180,2025-11-20,FR4585,porto,16:35:00,197,EU,Jueves,Tarde,,0.91
181,2025-11-20,FR2098,bologna,17:15:00,189,EU,Jueves,Tarde,,0.97
182,2025-11-20,FR8394,budapest,17:30:00,189,EU,Jueves,Tarde,,0.98
183,2025-11-20,FR6300,sofia,17:45:00,189,EU,Jueves,Tarde,,0.97
184,2025-11-20,FR5718,bratislava,18:00:00,189,EU,Jueves,Tarde,,0.94
185,2025-11-20,FR6341,rome,18:00:00,189,EU,Jueves,Tarde,,0.95
186,2025-11-20,FR3078,lisbon,18:30:00,189,EU,Jueves,Tarde,,0.98
187,2025-11-20,FR6394,dublin,18:30:00,197,INT,Jueves,Tarde,,0.95
188,2025-11-20,FR3800,birmingham,18:45:00,189,INT,Jueves,Tarde,,0.96
189,2025-11-20,FR3193,riga,19:05:00,189,EU,Jueves,Tarde,,0.94
190,2025-11-20,FR1342,palma de mallorca,19:25:00,189,NAC,Jueves,Tarde,,0.91
191,2025-11-20,FR8217,london,19:25:00,189,INT,Jueves,Tarde,,0.94
192,2025-11-20,FR8598,reggio calabria,19:45:00,189,EU,Jueves,Tarde,,0.82
193,2025-11-20,FR8631,tanger,19:55:00,189,INT,Jueves,Tarde,,0.94
194,2025-11-20,FR3143,milan,20:25:00,189,EU,Jueves,Noche,,0.95
195,2025-11-20,FR4587,porto,20:45:00,189,EU,Jueves,Noche,,0.9
196,2025-11-20,FR333,gdansk,21:00:00,189,EU,Jueves,Noche,,0.98
197,2025-11-20,FR1527,valletta,21:20:00,189,EU,Jueves,Noche,,0.94
198,2025-11-20,FR3035,krakow,21:30:00,197,EU,Jueves,Noche,,0.98
199,2025-11-20,FR4084,warsaw,21:30:00,189,EU,Jueves,Noche,,0.98
200,2025-11-21,FR8183,bologna,06:10:00,189,EU,Viernes,Mañana,,0.96
201,2025-11-21,FR8231,london,06:10:00,189,INT,Viernes,Mañana,,0.92
202,2025-11-21,FR777,venice,06:20:00,189,EU,Viernes,Mañana,,0.96
203,2025-11-21,FR846,milan,06:25:00,189,EU,Viernes,Mañana,,0.95
204,2025-11-21,FR133,berlin,06:35:00,189,EU,Viernes,Mañana,,0.98
205,2025-11-21,FR4545,porto,06:45:00,197,EU,Viernes,Mañana,,0.81
206,2025-11-21,FR2889,palma de mallorca,07:40:00,180,NAC,Viernes,Mañana,,0.64
207,2025-11-21,FR3976,dublin,08:00:00,189,INT,Viernes,Mañana,,0.95
208,2025-11-21,FR3185,rabat,08:10:00,189,INT,Viernes,Mañana,,0.82
209,2025-11-21,FR6973,rome,08:15:00,189,EU,Viernes,Mañana,,0.95
210,2025-11-21,FR5752,valletta,08:40:00,197,EU,Viernes,Mañana,,0.94
211,2025-11-21,FR1165,sevilla,09:00:00,189,NAC,Viernes,Mañana,,0.96
212,2025-11-21,FR2834,charleroi,09:15:00,197,EU,Viernes,Mañana,,0.95
213,2025-11-21,FR12,vienna,09:25:00,180,EU,Viernes,Mañana,,0.98
214,2025-11-21,FR3028,ibiza,09:40:00,189,NAC,Viernes,Mañana,,0.62
215,2025-11-21,FR3320,milan,09:45:00,189,EU,Viernes,Mañana,,0.95
216,2025-11-21,FR9015,london,10:00:00,197,INT,Viernes,Mañana,,0.94
217,2025-11-21,FR6920,dublin,10:05:00,197,INT,Viernes,Mañana,,0.95
218,2025-11-21,FR2239,marrakech,10:20:00,189,INT,Viernes,Mañana,,0.92
219,2025-11-21,FR6267,edinburgh,10:30:00,189,INT,Viernes,Mañana,,0.98
220,2025-11-21,FR5270,manchester,10:55:00,197,INT,Viernes,Mañana,,0.96
221,2025-11-21,FR8384,budapest,11:00:00,189,EU,Viernes,Mañana,,0.98
222,2025-11-21,FR3166,palermo,11:10:00,189,EU,Viernes,Mañana,,0.97
223,2025-11-21,FR269,milan,11:20:00,189,EU,Viernes,Mañana,,0.95
224,2025-11-21,FR3121,paris,11:35:00,197,EU,Viernes,Mañana,,0.98
225,2025-11-21,FR2896,palma de mallorca,11:35:00,180,NAC,Viernes,Mañana,,0.92
226,2025-11-21,FR3049,krakow,11:45:00,189,EU,Viernes,Mañana,,0.98
227,2025-11-21,FR774,torino,11:55:00,197,EU,Viernes,Mañana,,0.97
228,2025-11-21,FR4585,porto,12:15:00,189,EU,Viernes,Tarde,,0.92
229,2025-11-21,FR575,bologna,12:45:00,189,EU,Viernes,Tarde,,0.97
230,2025-11-21,FR58,napoli,12:45:00,189,EU,Viernes,Tarde,,0.98
231,2025-11-21,FR6874,dublin,12:55:00,189,INT,Viernes,Tarde,,0.95
232,2025-11-21,FR6078,ouarzazate,13:50:00,189,INT,Viernes,Tarde,,0.84
233,2025-11-21,FR3180,rome,13:55:00,189,EU,Viernes,Tarde,,0.95
234,2025-11-21,FR7351,vienna,14:20:00,180,EU,Viernes,Tarde,,0.98
235,2025-11-21,FR8215,london,14:35:00,189,INT,Viernes,Tarde,,0.94
236,2025-11-21,FR2507,cologne-bonn,14:55:00,189,EU,Viernes,Tarde,,0.98
237,2025-11-21,FR867,venice,14:55:00,189,EU,Viernes,Tarde,,0.97
238,2025-11-21,FR1342,palma de mallorca,15:00:00,189,NAC,Viernes,Tarde,,0.93
239,2025-11-21,FR5718,bratislava,15:10:00,189,EU,Viernes,Tarde,,0.94
240,2025-11-21,FR483,malaga,15:25:00,197,NAC,Viernes,Tarde,,0.93
241,2025-11-21,FR9045,london,16:05:00,189,INT,Viernes,Tarde,,0.94
242,2025-11-21,FR2925,brussels,16:15:00,189,EU,Viernes,Tarde,,0.95
243,2025-11-21,FR6985,rome,16:15:00,189,EU,Viernes,Tarde,,0.95
244,2025-11-21,FR3129,ibiza,16:45:00,189,NAC,Viernes,Tarde,,0.81
245,2025-11-21,FR878,venice,16:55:00,189,EU,Viernes,Tarde,,0.97
246,2025-11-21,FR4587,porto,17:05:00,189,EU,Viernes,Tarde,,0.93
247,2025-11-21,FR3076,stockholm,17:30:00,197,EU,Viernes,Tarde,,0.98
248,2025-11-21,FR6341,rome,18:00:00,189,EU,Viernes,Tarde,,0.95
249,2025-11-21,FR6353,milan,18:00:00,197,EU,Viernes,Tarde,,0.95
250,2025-11-21,FR2098,bologna,18:35:00,189,EU,Viernes,Tarde,,0.97
251,2025-11-21,FR3189,fes,18:50:00,189,INT,Viernes,Tarde,,0.9
252,2025-11-21,FR149,berlin,19:15:00,197,EU,Viernes,Tarde,,0.98
253,2025-11-21,FR3078,lisbon,19:20:00,189,EU,Viernes,Tarde,,0.98
254,2025-11-21,FR6330,sofia,19:20:00,189,EU,Viernes,Tarde,,0.97
255,2025-11-21,FR2330,al aaroui,19:35:00,189,INT,Viernes,Tarde,,0.93
256,2025-11-21,FR7362,vienna,19:40:00,180,EU,Viernes,Tarde,,0.98
257,2025-11-21,FR6374,paris,19:45:00,189,EU,Viernes,Tarde,,0.98
258,2025-11-21,FR1527,valletta,20:05:00,189,EU,Viernes,Noche,,0.95
259,2025-11-21,FR2402,sevilla,20:10:00,197,NAC,Viernes,Noche,,0.96
260,2025-11-21,FR6275,edinburgh,20:10:00,197,INT,Viernes,Noche,,0.98
261,2025-11-21,FR6305,milan,20:10:00,189,EU,Viernes,Noche,,0.95
262,2025-11-21,FR3792,birmingham,20:25:00,189,INT,Viernes,Noche,,0.96
263,2025-11-21,FR7539,milan,20:35:00,189,EU,Viernes,Noche,,0.95
264,2025-11-21,FR8631,tanger,20:35:00,189,INT,Viernes,Noche,,0.94
265,2025-11-21,FR1786,vilnius,20:35:00,197,EU,Viernes,Noche,,0.98
266,2025-11-21,FR5710,napoli,20:50:00,197,EU,Viernes,Noche,,0.98
267,2025-11-21,FR8394,budapest,21:00:00,189,EU,Viernes,Noche,,0.98
268,2025-11-21,FR3174,ibiza,21:10:00,189,NAC,Viernes,Noche,,0.8
269,2025-11-21,FR6944,warsaw,21:30:00,189,EU,Viernes,Noche,,0.98
270,2025-11-21,FR7808,london,21:35:00,189,INT,Viernes,Noche,,0.91
271,2025-11-21,FR8669,dublin,21:40:00,189,INT,Viernes,Noche,,0.93
272,2025-11-21,FR9811,london,21:40:00,189,INT,Viernes,Noche,,0.9
273,2025-11-21,FR2495,palma de mallorca,21:45:00,189,NAC,Viernes,Noche,,0.92
274,2025-11-21,FR6597,manchester,21:45:00,189,INT,Viernes,Noche,,0.94
275,2025-11-21,FR2250,marrakech,21:55:00,189,INT,Viernes,Noche,,0.89
276,2025-11-21,FR3080,malaga,22:30:00,197,NAC,Viernes,Noche,,0.89
277,2025-11-21,FR9814,london,23:10:00,189,INT,Viernes,Noche,,0.9
278,2025-11-22,FR846,milan,06:00:00,189,EU,Sábado,Mañana,,0.95
279,2025-11-22,FR5718,bratislava,06:10:00,189,EU,Sábado,Mañana,,0.92
280,2025-11-22,FR4545,porto,06:15:00,197,EU,Sábado,Mañana,,0.8
281,2025-11-22,FR1342,palma de mallorca,06:20:00,189,NAC,Sábado,Mañana,,0.63
282,2025-11-22,FR777,venice,06:30:00,189,EU,Sábado,Mañana,,0.96
283,2025-11-22,FR2918,brussels,08:05:00,189,EU,Sábado,Mañana,,0.95
284,2025-11-22,FR3180,rome,08:15:00,189,EU,Sábado,Mañana,,0.95
285,2025-11-22,FR1165,palma de mallorca,08:50:00,189,NAC,Sábado,Mañana,,0.68
286,2025-11-22,FR575,bologna,08:50:00,189,EU,Sábado,Mañana,,0.97
287,2025-11-22,FR3166,palermo,09:00:00,189,EU,Sábado,Mañana,,0.97
288,2025-11-22,FR2834,charleroi,09:15:00,189,EU,Sábado,Mañana,,0.95
289,2025-11-22,FR133,berlin,09:20:00,189,EU,Sábado,Mañana,,0.98
