,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate
483,05/12/2025,Air Serbia,JU581,Belgrade (BEG),09:55,"Retrasado, Ha salido 10:51",174.0,Airbus A320,Y57
484,05/12/2025,Ryanair,FR9015,London (STN),10:00,"Retrasado, Ha salido 10:10",197.0,Boeing 737 MAX 8,W42
485,05/12/2025,Wizz Air Malta,W46018,Rome (FCO),10:00,"En hora, Ha salido",239.0,Airbus A321neo,S21
486,05/12/2025,Ryanair,FR6920,Dublin (DUB),10:05,"En hora, Ha salido",197.0,Boeing 737 MAX 8,Y54
487,05/12/2025,Transavia,HV5132,Amsterdam (AMS),10:05,"Retrasado, Ha salido 11:00",232.0,Airbus A321neo,S20
488,05/12/2025,Eurowings,EW7521,Hamburg (HAM),10:10,"En hora, Ha salido",180.0,Airbus A320,S24
489,05/12/2025,Wizz Air,W61476,Warsaw (WAW),10:15,"Retrasado, Ha salido 10:25",239.0,Airbus A321neo,U34
490,05/12/2025,Ryanair,FR2239,Marrakech (RAK),10:20,"Retrasado, Ha salido 10:51",189.0,Boeing 737-800,Y58
491,05/12/2025,Easyjet,U22002,Manchester (MAN),10:25,"Retrasado, Ha salido 11:16",186.0,Airbus A320neo,M1
492,05/12/2025,Easyjet,U22324,London (LTN),10:25,"Retrasado, Ha salido 10:43",186.0,Airbus A320neo,M2
493,05/12/2025,easyJet Europe,EC7131,Nice/Cote D'Azur (NCE),10:30,"En hora, Ha salido",156.0,Airbus A319,R11
494,05/12/2025,Ryanair,FR6267,Edinburgh (EDI),10:30,Retrasado,189.0,Boeing 737-800,W
495,05/12/2025,easyJet Europe,EC4212,Napoli (NAP),10:35,"En hora, Ha salido",180.0,Airbus A320,R12
496,05/12/2025,Transavia,HV6064,Rotterdam (RTM),10:40,"En hora, Ha salido",189.0,Boeing 737-800,U31
497,05/12/2025,Easyjet,U22704,Bristol (BRS),10:50,"En hora, Ha salido",180.0,Airbus A320,M6
498,05/12/2025,Ryanair,FR5270,Manchester (MAN),10:55,"En hora, Ha salido",197.0,Boeing 737 MAX 8,W44
499,05/12/2025,BUZZ,RR8384,Budapest (BUD),11:00,"En hora, Ha salido",189.0,Boeing 737-800,R14
500,05/12/2025,Ryanair,FR3166,Palermo (PMO),11:10,"En hora, Ha salido",189.0,Boeing 737-800,S25
501,05/12/2025,Ryanair,FR269,Milan (MXP),11:20,"En hora, Ha salido",189.0,Boeing 737-800,U36
502,05/12/2025,FLYONE Armenia,3F232,Yerevan (EVN),11:30,"Retrasado, Ha salido 12:02",189.0,Airbus A320,W42
503,05/12/2025,Aer Lingus,EI563,Dublin (DUB),11:35,"En hora, Ha salido",174.0,Airbus A320,W45
504,05/12/2025,Ryanair,FR3121,Beauvais (BVA),11:35,"En hora, Ha salido",197.0,Boeing 737 MAX 8,U33
505,05/12/2025,Lauda Europe,LW2896,Palma de Mallorca (PMI),11:35,"En hora, Ha salido",180.0,Airbus A320,U32
506,05/12/2025,easyJet Europe,EC7141,Strasbourg (SXB),11:45,"En hora, Ha salido",156.0,Airbus A319,R9
507,05/12/2025,BUZZ,RR3049,Krakow (KRK),11:45,"En hora, Ha salido",189.0,Boeing 737-800,S22
508,05/12/2025,Easyjet,U28056,London (LGW),11:45,"En hora, Ha salido",186.0,Airbus A320neo,M3
509,05/12/2025,Icelandair,FI597,Keflavik (KEF),11:50,"Retrasado, Ha salido 12:16",160.0,Boeing 737 MAX 8,U37
510,05/12/2025,Ryanair,FR774,Torino (TRN),11:55,"En hora, Ha salido",189.0,Boeing 737-800,S23
511,05/12/2025,easyJet Europe,EC8064,London (LGW),12:15,"En hora, Ha salido",156.0,Airbus A319,M6
512,05/12/2025,Ryanair,FR4585,Porto (OPO),12:15,"En hora, Ha salido",197.0,Boeing 737 MAX 8,S21
513,05/12/2025,Norwegian Air Sweden AOC,D83657,Copenhagen (CPH),12:30,"Retrasado, Ha salido 12:46",189.0,Boeing 737 MAX 8,S20
514,05/12/2025,Ryanair,FR575,Bologna (BLQ),12:45,"En hora, Ha salido",189.0,Boeing 737-800,R11
515,05/12/2025,Ryanair,FR58,Napoli (NAP),12:45,"Retrasado, Ha salido 12:58",189.0,Boeing 737-800,S24
516,05/12/2025,Pegasus Airlines,PC1092,Istanbul (SAW),12:45,"En hora, Ha salido",239.0,Airbus A321neo,W44
517,05/12/2025,Ryanair,FR6874,Dublin (DUB),12:55,"Retrasado, Ha salido 13:30",197.0,Boeing 737 MAX 8,Y58
518,05/12/2025,Wizz Air,W67022,Bratislava (BTS),12:55,"En hora, Ha salido",239.0,Airbus A321neo,U36
519,05/12/2025,Wizz Air Malta,W46330,Milan (MXP),13:10,Retrasado,239.0,Airbus A321neo,U
520,05/12/2025,HiSky,H4264,Bucharest (OTP),13:20,"En hora, Ha salido",180.0,Airbus A320,R14
521,05/12/2025,Norwegian Air Shuttle,DY1741,Oslo (OSL),13:25,"En hora, Ha salido",189.0,Boeing 737-800,S25
522,05/12/2025,FlyOne,5F5512,Chisinau (KIV),13:30,"Retrasado, Programado 15:00",194.0,Airbus A321,W
523,05/12/2025,Pegasus Airlines,PC1528,Izmir (ADB),13:30,"En hora, Ha salido",180.0,Airbus A320,Y57
524,05/12/2025,Ryanair,FR2922,Brussels (BRU),13:35,"En hora, Ha salido",189.0,Boeing 737-800,U35
525,05/12/2025,Ryanair,FR6078,Ouarzazate (OZZ),13:50,"En hora, Ha salido",189.0,Boeing 737-800,W42
526,05/12/2025,Jet2,LS804,Manchester (MAN),13:50,"En hora, Ha salido",189.0,Boeing 737-800,Y54
527,05/12/2025,Ryanair,FR3180,Rome (FCO),13:55,"En hora, Ha salido",189.0,Boeing 737-800,S22
528,05/12/2025,Air Baltic,BT684,Riga (RIX),14:05,"Retrasado, Programado 14:15",148.0,Airbus A220-300,U33
529,05/12/2025,Azores Airlines,S4507,Ponta Delgada (PDL),14:05,"En hora, Programado",186.0,Airbus A320neo,U34
530,05/12/2025,Turkish Airlines,TK608,Ankara (ESB),14:15,"En hora, Ha salido",197.0,Boeing 737 MAX 8,Y55
531,05/12/2025,easyJet Europe,EC7153,Milan (MXP),14:20,"Retrasado, Programado 14:31",156.0,Airbus A319,R
532,05/12/2025,Lauda Europe,LW7351,Vienna (VIE),14:20,"En hora, Programado",180.0,Airbus A320,U32
533,05/12/2025,Ryanair,FR8215,London (STN),14:35,"En hora, Programado",189.0,Boeing 737-800,Y53
534,05/12/2025,easyJet Europe,EC7107,Geneva (GVA),14:40,"En hora, Programado",156.0,Airbus A319,R10
535,05/12/2025,Ryanair,FR2233,Al Aaroui (NDR),14:40,"En hora, Programado",189.0,Boeing 737-800,W45
536,05/12/2025,Volotea,V71443,Ancona (AOI),14:45,"En hora, Programado",180.0,Airbus A320,S20
537,05/12/2025,Wizz Air,W64406,Sofia (SOF),14:50,"En hora, Programado",239.0,Airbus A321neo,S23
538,05/12/2025,Ryanair,FR2507,Cologne-Bonn (CGN),14:55,"En hora, Programado",189.0,Boeing 737-800,S25
539,05/12/2025,Ryanair,FR867,Venice (VCE),14:55,"En hora, Programado",189.0,Boeing 737-800,U31
540,05/12/2025,SmartWings,QS1059,Prague (PRG),14:55,"En hora, Programado",189.0,Boeing 737-800,S21
541,05/12/2025,Ryanair,FR1342,Palma de Mallorca (PMI),15:00,"En hora, Programado",189.0,Boeing 737-800,U
542,05/12/2025,Ryanair,FR5718,Bratislava (BTS),15:10,"En hora, Ha salido",189.0,Boeing 737-800,R12
543,05/12/2025,Volotea,V73735,Murcia (RMU),15:15,"En hora, Ha salido",156.0,Airbus A319,U36
544,05/12/2025,Ryanair,FR483,Malaga (AGP),15:25,"Retrasado, Ha salido 16:22",197.0,Boeing 737 MAX 8,U35
545,05/12/2025,easyJet Europe,EC7694,Lisbon (LIS),15:30,"Retrasado, Ha salido 15:40",180.0,Airbus A320,R11
546,05/12/2025,Wizz Air,W61412,Warsaw (WMI),15:40,"En hora, Ha salido",239.0,Airbus A321neo,U33
547,05/12/2025,Pegasus Airlines,PC1094,Istanbul (SAW),15:45,"En hora, Ha salido",239.0,Airbus A321neo,Y57
548,05/12/2025,Ryanair,FR9045,London (STN),16:05,"En hora, Ha salido",189.0,Boeing 737-800,Y54
549,05/12/2025,Norwegian Air Sweden AOC,D85510,Copenhagen (CPH),16:15,"En hora, Ha salido",189.0,Boeing 737-800,U37
550,05/12/2025,Ryanair,FR2925,Brussels (BRU),16:15,"Retrasado, Ha salido 17:20",189.0,Boeing 737-800,R13
551,05/12/2025,Ryanair,FR6985,Rome (FCO),16:15,"Retrasado, Ha salido 17:00",189.0,Boeing 737-800,S23
552,05/12/2025,Wizz Air Malta,W43564,Timisoara (TSR),16:25,"En hora, Ha salido",180.0,Airbus A320,U31
553,05/12/2025,Ryanair,FR3129,Ibiza (IBZ),16:45,"Retrasado, Ha salido 17:17",189.0,Boeing 737-800,S22
554,05/12/2025,easyJet Europe,EC7173,Berlin (BER),16:50,"Retrasado, Ha salido 17:06",156.0,Airbus A319,R9
555,05/12/2025,Volotea,V73700,Vitoria (VIT),16:50,"En hora, Ha salido",180.0,Airbus A320,U34
556,05/12/2025,Ryanair,FR878,Venice (VCE),16:55,"En hora, Ha salido",180.0,Airbus A320,R14
557,05/12/2025,Ryanair,FR4587,Porto (OPO),17:05,"En hora, Ha salido",197.0,Boeing 737 MAX 8,S20
558,05/12/2025,Wizz Air,W67920,Kopitnari (KUT),17:15,"En hora, Ha salido",239.0,Airbus A321neo,Y53
559,05/12/2025,Ryanair,FR3076,Stockholm (ARN),17:30,"Retrasado, Ha salido 17:45",197.0,Boeing 737 MAX 8,S21
560,05/12/2025,Volotea,V73573,Asturias (OVD),17:40,"En hora, Ha salido",156.0,Airbus A319,U36
561,05/12/2025,Transavia,HV5134,Amsterdam (AMS),17:45,"En hora, Ha salido",189.0,Boeing 737-800,U33
562,05/12/2025,Ryanair,FR6341,Rome (FCO),18:00,"En hora, Ha salido",189.0,Boeing 737-800,S24
563,05/12/2025,Ryanair,FR6353,Milan (BGY),18:00,"En hora, Ha salido",197.0,Boeing 737 MAX 8,S25
564,05/12/2025,easyJet Europe,EC7205,Southampton (SOU),18:10,"En hora, Ha salido",156.0,Airbus A319,M6
565,05/12/2025,Air Arabia Maroc,3O398,Rabat (RBA),18:30,"Retrasado, Ha salido 18:47",174.0,Airbus A320,Y55
566,05/12/2025,Wizz Air Malta,W43686,Iasi (IAS),18:30,"En hora, Ha salido",180.0,Airbus A320,U34
567,05/12/2025,Ryanair,FR2098,Bologna (BLQ),18:35,"En hora, Ha salido",189.0,Boeing 737-800,U32
568,05/12/2025,easyJet Europe,EC7103,"Basel, Switzerland/Mulhouse (BSL)",18:45,"Retrasado, Ha salido 19:21",156.0,Airbus A319,R12
569,05/12/2025,Ryanair,FR3189,Fes (FEZ),18:50,"Retrasado, Ha salido 19:05",189.0,Boeing 737-800,W45
570,05/12/2025,Wizz Air,W61478,Warsaw (WAW),19:00,"En hora, Ha salido",239.0,Airbus A321neo,U31
571,05/12/2025,easyJet Europe,EC7155,Milan (MXP),19:10,"Retrasado, Ha salido 19:22",156.0,Airbus A319,R10
572,05/12/2025,Ryanair,FR149,Berlin (BER),19:15,"En hora, Ha salido",197.0,Boeing 737 MAX 8,R13
573,05/12/2025,Ryanair,FR3078,Lisbon (LIS),19:20,"En hora, Ha salido",189.0,Boeing 737-800,R11
574,05/12/2025,BUZZ,RR6330,Sofia (SOF),19:20,"En hora, Ha salido",189.0,Boeing 737-800,R14
575,05/12/2025,Ryanair,FR9111,Torino (TRN),19:25,"Retrasado, Ha salido 20:40",197.0,Boeing 737 MAX 8,U33
576,05/12/2025,Volotea,V72165,Nantes/Atlantique (NTE),19:30,"En hora, Ha salido",156.0,Airbus A319,S25
577,05/12/2025,Eurowings,EW9443,Dusseldorf (DUS),19:35,"Retrasado, Ha salido 20:02",239.0,Airbus A321neo,S22
578,05/12/2025,Ryanair,FR2330,Al Aaroui (NDR),19:35,"En hora, Ha salido",189.0,Boeing 737-800,W46
579,05/12/2025,Lauda Europe,LW7362,Vienna (VIE),19:40,"En hora, Ha salido",180.0,Airbus A320,S20
580,05/12/2025,Easyjet,U28058,London (LGW),19:40,"Retrasado, Ha salido 20:11",180.0,Airbus A320,M6
581,05/12/2025,Ryanair,FR6374,Beauvais (BVA),19:45,"En hora, Ha salido",189.0,Boeing 737-800,U36
582,05/12/2025,Eurowings,EW2521,Stuttgart (STR),19:55,"Retrasado, Ha salido 20:11",239.0,Airbus A321neo,S21
583,05/12/2025,Volotea,V71415,Verona (VRN),19:55,"En hora, Ha salido",180.0,Airbus A320,U32
584,05/12/2025,Wizz Air,W64666,Larnaca (LCA),19:55,"En hora, Ha salido",230.0,Airbus A321,W42
585,05/12/2025,Ryanair,FR1527,Valletta (MLA),20:05,"Retrasado, Ha salido 20:38",189.0,Boeing 737-800,S23
586,05/12/2025,Ryanair,FR2402,Sevilla (SVQ),20:10,"En hora, Ha salido",189.0,Boeing 737-800,U35
587,05/12/2025,Ryanair,FR6275,Edinburgh (EDI),20:10,"Retrasado, Ha salido 20:29",197.0,Boeing 737 MAX 8,Y57
588,05/12/2025,Ryanair,FR6305,Milan (BGY),20:10,"Retrasado, Ha salido 20:45",197.0,Boeing 737 MAX 8,R11
589,05/12/2025,Wizz Air,W62096,Krakow (KRK),20:10,"Retrasado, Ha salido 20:24",239.0,Airbus A321neo,S24
590,05/12/2025,easyJet Europe,EC1956,Milan (LIN),20:15,"En hora, Ha salido",180.0,Airbus A320,R9
591,05/12/2025,Wizz Air Malta,W42940,Vienna (VIE),20:20,"En hora, Ha salido",239.0,Airbus A321neo,U34
592,05/12/2025,T'Way Air,TW408,Seoul/Incheon (ICN),20:30,"En hora, Ha salido",246.0,Airbus A330-200,W43
593,05/12/2025,Volotea,V72135,Bordeaux (BOD),20:30,"En hora, Ha salido",180.0,Airbus A320,U31
594,05/12/2025,Ryanair,FR7539,Milan (MXP),20:35,"En hora, Ha salido",189.0,Boeing 737-800,R10
595,05/12/2025,Ryanair,FR8631,Tanger (TNG),20:35,"Retrasado, Ha salido 21:06",189.0,Boeing 737-800,Y54
596,05/12/2025,Air Serbia,JU585,Belgrade (BEG),20:35,"En hora, Ha salido",156.0,Airbus A319,Y53
597,05/12/2025,BUZZ,RR1786,Vilnius (VNO),20:35,"En hora, Ha salido",197.0,Boeing 737 MAX 8,R13
598,05/12/2025,Luxair,LG3592,Luxembourg (LUX),20:40,"En hora, Ha salido",141.0,Boeing 737-700,R12
599,05/12/2025,Wizz Air,W62378,Budapest (BUD),20:45,"Retrasado, Ha salido 21:06",239.0,Airbus A321neo,S20
