,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,flight_Aircraft,Gate
120,20/11/2025 14-38-34,BUZZ,RR333,Gdansk (GDN),21:00,Programado,189.0,Boeing 737-800,S
121,20/11/2025 14-38-34,Aer Lingus,EI565,Dublin (DUB),21:05,Programado,180.0,Airbus A320,W
122,20/11/2025 14-38-34,easyJet Europe,EC1380,Geneva (GVA),21:15,Programado,180.0,Airbus A320,R
123,20/11/2025 14-38-34,Ryanair,FR1527,Valletta (MLA),21:20,Programado,189.0,Boeing 737-800,U
124,20/11/2025 14-38-34,Wizz Air Malta,W43178,Bucharest (BBU),21:20,Programado,230.0,Airbus A321,U
125,20/11/2025 14-38-34,Wizz Air Malta,W43406,Cluj-Napoca (CLJ),21:25,Programado,239.0,Airbus A320neo,S
126,20/11/2025 14-38-34,BUZZ,RR3035,Krakow (KRK),21:30,Programado,197.0,Boeing 737 MAX 8,R
127,20/11/2025 14-38-34,BUZZ,RR4084,Warsaw (WMI),21:30,Programado,189.0,Boeing 737-800,S
128,20/11/2025 14-38-34,Wizz Air Malta,W46020,Rome (FCO),21:35,Programado,230.0,Airbus A321,U
129,20/11/2025 14-38-34,Wizz Air,W64116,Belgrade (BEG),22:10,Programado,230.0,Airbus A321,W
130,20/11/2025 14-38-34,Wizz Air Malta,W45154,Tirana (TIA),22:45,Programado,239.0,Airbus A321neo,
