,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time,festivo,Visper_fest
74,2025-11-17,Pegasus Airlines,PC1528,izmir,13:30:00,En hora,180,Airbus A320,Y,INT,Lunes,Tarde,0,0
75,2025-11-17,Luxair,LG3592,luxembourg,13:35:00,Retrasado,76,de Havilland Dash 8-400,U,EU,Lunes,Tarde,0,0
76,2025-11-17,Grupo easy,EC7153,milan,13:40:00,Retrasado,156,Airbus A319,R,EU,Lunes,Tarde,0,0
77,2025-11-17,Grupo Ryanair,FR4585,porto,13:40:00,Retrasado,189,Boeing 737-800,S,EU,Lunes,Tarde,0,0
78,2025-11-17,Turkish Airlines,TK608,ankara,13:40:00,Retrasado,165,Boeing 737-800,Y,INT,Lunes,Tarde,0,0
79,2025-11-17,Grupo Ryanair,FR3189,fes,13:50:00,Retrasado,189,Boeing 737-800,W,INT,Lunes,Tarde,0,0
80,2025-11-17,Jet2,LS804,manchester,13:50:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde,0,0
81,2025-11-17,Grupo Ryanair,FR3792,birmingham,13:55:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde,0,0
82,2025-11-17,Air Baltic,BT684,riga,14:05:00,Retrasado,148,Airbus A220-300,U,EU,Lunes,Tarde,0,0
83,2025-11-17,Grupo Ryanair,FR2889,palma de mallorca,14:05:00,Retrasado,189,Boeing 737-800,S,NAC,Lunes,Tarde,0,0
84,2025-11-17,Norwegian Air Sweden AOC,D85502,stockholm,14:40:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0
85,2025-11-17,Bluebird Airways,BZ251,tel aviv,14:45:00,En hora,189,Boeing 737-800,W,INT,Lunes,Tarde,0,0
86,2025-11-17,Grupo easy,EC7107,geneva,14:45:00,Retrasado,156,Airbus A319,R,EU,Lunes,Tarde,0,0
87,2025-11-17,Volotea,V71443,ancona,14:45:00,En hora,180,Airbus A320,S,EU,Lunes,Tarde,0,0
88,2025-11-17,Grupo wizz,W64406,sofia,14:50:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Tarde,0,0
89,2025-11-17,Grupo easy,EC4212,napoli,14:55:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde,0,0
90,2025-11-17,SmartWings,QS1059,prague,14:55:00,Retrasado,189,Boeing 737-800,S,EU,Lunes,Tarde,0,0
91,2025-11-17,Air Arabia Maroc,3O376,al aaroui,15:00:00,En hora,174,Airbus A320,Y,INT,Lunes,Tarde,0,0
92,2025-11-17,Grupo Ryanair,FR3146,oujda,15:10:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde,0,0
93,2025-11-17,Grupo Ryanair,FR1681,frankfurt-hahn,15:35:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0
94,2025-11-17,Grupo wizz,W46728,venice,15:40:00,En hora,230,Airbus A321,S,EU,Lunes,Tarde,0,0
95,2025-11-17,Pegasus Airlines,PC1094,istanbul,15:45:00,Retrasado,239,Airbus A321neo,W,INT,Lunes,Tarde,0,0
96,2025-11-17,Grupo Ryanair,FR867,venice,16:05:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0
97,2025-11-17,Grupo Ryanair,FR9811,london,16:05:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde,0,0
98,2025-11-17,Grupo wizz,W43564,timisoara,16:25:00,Retrasado,180,Airbus A320,S,EU,Lunes,Tarde,0,0
99,2025-11-17,Volotea,V73735,murcia,16:35:00,En hora,180,Airbus A320,R,NAC,Lunes,Tarde,0,0
100,2025-11-17,Grupo Ryanair,FR2507,cologne-bonn,16:45:00,En hora,197,Boeing 737 MAX 8,U,EU,Lunes,Tarde,0,0
101,2025-11-17,Grupo Ryanair,FR5718,bratislava,16:50:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0
102,2025-11-17,Grupo Ryanair,FR6305,milan,16:50:00,En hora,189,Boeing 737-800,S,EU,Lunes,Tarde,0,0
103,2025-11-17,Grupo Ryanair,RR6874,dublin,16:55:00,Retrasado,189,Boeing 737-800,W,INT,Lunes,Tarde,0,0
104,2025-11-17,Grupo easy,U23372,liverpool,17:00:00,En hora,156,Airbus A319,M,INT,Lunes,Tarde,0,0
105,2025-11-17,Grupo Ryanair,FR5270,manchester,17:05:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde,0,0
106,2025-11-17,Grupo Ryanair,RR6300,sofia,17:05:00,En hora,189,Boeing 737-800,S,EU,Lunes,Tarde,0,0
107,2025-11-17,Grupo easy,EC7173,berlin,17:10:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde,0,0
108,2025-11-17,Volotea,V73700,vitoria,17:15:00,En hora,156,Airbus A319,S,NAC,Lunes,Tarde,0,0
109,2025-11-17,Grupo wizz,W67920,kopitnari,17:15:00,Retrasado,239,Airbus A321neo,W,INT,Lunes,Tarde,0,0
110,2025-11-17,Grupo Ryanair,FR1786,vilnius,17:30:00,En hora,189,Boeing 737-800,S,EU,Lunes,Tarde,0,0
111,2025-11-17,Grupo Ryanair,FR2922,brussels,17:30:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0
112,2025-11-17,Grupo easy,EC3737,milan,17:35:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde,0,0
113,2025-11-17,Grupo easy,EC7199,edinburgh,17:35:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde,0,0
114,2025-11-17,Transavia,HV5134,amsterdam,17:50:00,Retrasado,232,Airbus A321neo,R,EU,Lunes,Tarde,0,0
115,2025-11-17,Grupo Ryanair,RR333,gdansk,17:55:00,En hora,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0
116,2025-11-17,Grupo Ryanair,FR269,milan,18:00:00,Retrasado,189,Boeing 737-800,U,EU,Lunes,Tarde,0,0
117,2025-11-17,Grupo easy,EC7205,southampton,18:05:00,En hora,156,Airbus A319,R,EU,Lunes,Tarde,0,0
118,2025-11-17,Grupo Ryanair,FR3320,milan,18:30:00,En hora,197,Boeing 737 MAX 8,S,EU,Lunes,Tarde,0,0
119,2025-11-17,Grupo wizz,W43686,iasi,18:30:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde,0,0
120,2025-11-17,Grupo Ryanair,FR3174,ibiza,18:45:00,Retrasado,189,Boeing 737-800,S,NAC,Lunes,Tarde,0,0
121,2025-11-17,Grupo wizz,W61478,warsaw,19:00:00,En hora,239,Airbus A321neo,S,EU,Lunes,Tarde,0,0
122,2025-11-17,Grupo Ryanair,FR3185,rabat,19:05:00,Retrasado,189,Boeing 737-800,Y,INT,Lunes,Tarde,0,0
123,2025-11-17,Grupo Ryanair,FR9307,cork,19:15:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde,0,0
124,2025-11-17,Grupo Ryanair,FR8231,london,19:25:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Tarde,0,0
125,2025-11-17,Eurowings,EW7521,hamburg,19:40:00,En hora,180,Airbus A320,U,EU,Lunes,Tarde,0,0
126,2025-11-17,Grupo Ryanair,LW2896,palma de mallorca,19:40:00,En hora,180,Airbus A320,S,NAC,Lunes,Tarde,0,0
127,2025-11-17,Grupo wizz,W61706,gdansk,19:40:00,En hora,239,Airbus A321neo,S,EU,Lunes,Tarde,0,0
128,2025-11-17,Grupo Ryanair,FR133,berlin,19:45:00,En hora,197,Boeing 737 MAX 8,R,EU,Lunes,Tarde,0,0
129,2025-11-17,Grupo Ryanair,LW7351,vienna,19:45:00,En hora,180,Airbus A320,R,EU,Lunes,Tarde,0,0
130,2025-11-17,Grupo easy,U28058,london,19:45:00,En hora,156,Airbus A319,M,INT,Lunes,Tarde,0,0
131,2025-11-17,Volotea,V71415,verona,19:55:00,En hora,180,Airbus A320,U,EU,Lunes,Tarde,0,0
132,2025-11-17,Grupo wizz,W64666,larnaca,19:55:00,En hora,230,Airbus A321,W,INT,Lunes,Tarde,0,0
133,2025-11-17,Grupo Ryanair,FR3080,malaga,20:00:00,En hora,189,Boeing 737-800,S,NAC,Lunes,Noche,0,0
134,2025-11-17,Air Arabia Maroc,3O378,tanger,20:05:00,En hora,174,Airbus A320,W,INT,Lunes,Noche,0,0
135,2025-11-17,Grupo Ryanair,FR3807,charleroi,20:05:00,En hora,189,Boeing 737-800,S,EU,Lunes,Noche,0,0
136,2025-11-17,Grupo Ryanair,FR6341,rome,20:10:00,En hora,189,Boeing 737-800,S,EU,Lunes,Noche,0,0
137,2025-11-17,Grupo Ryanair,FR6597,manchester,20:10:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Noche,0,0
138,2025-11-17,Grupo easy,EC1956,milan,20:15:00,En hora,180,Airbus A320,R,EU,Lunes,Noche,0,0
139,2025-11-17,Grupo wizz,W42940,vienna,20:20:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Noche,0,0
140,2025-11-17,Grupo easy,EC1010,"basel, switzerland/mulhouse",20:30:00,En hora,156,Airbus A319,R,EU,Lunes,Noche,0,0
141,2025-11-17,T'Way Air,TW408,seoul/incheon,20:30:00,En hora,246,Airbus A330-200,W,INT,Lunes,Noche,0,0
142,2025-11-17,Volotea,V72135,bordeaux,20:30:00,En hora,180,Airbus A320,S,EU,Lunes,Noche,0,0
143,2025-11-17,Air Serbia,JU585,belgrade,20:35:00,En hora,144,Airbus A319,W,INT,Lunes,Noche,0,0
144,2025-11-17,Grupo Ryanair,FR5710,napoli,20:40:00,En hora,189,Boeing 737-800,U,EU,Lunes,Noche,0,0
145,2025-11-17,Grupo Ryanair,RR8394,budapest,20:40:00,Retrasado,197,Boeing 737 MAX 8,U,EU,Lunes,Noche,0,0
146,2025-11-17,Transavia,TO4759,paris,20:45:00,En hora,186,Airbus A320neo,U,EU,Lunes,Noche,0,0
147,2025-11-17,Grupo wizz,W62378,budapest,20:45:00,Retrasado,239,Airbus A321neo,U,EU,Lunes,Noche,0,0
148,2025-11-17,Grupo Ryanair,FR2098,bologna,20:50:00,En hora,189,Boeing 737-800,U,EU,Lunes,Noche,0,0
149,2025-11-17,Grupo Ryanair,FR3928,trieste,20:50:00,En hora,189,Boeing 737-800,R,EU,Lunes,Noche,0,0
150,2025-11-17,Volotea,V72165,nantes/atlantique,20:50:00,Retrasado,156,Airbus A319,R,EU,Lunes,Noche,0,0
151,2025-11-17,Grupo Ryanair,FR878,venice,20:55:00,En hora,189,Boeing 737-800,U,EU,Lunes,Noche,0,0
152,2025-11-17,Aer Lingus,EI565,dublin,21:05:00,En hora,174,Airbus A320,Y,INT,Lunes,Noche,0,0
153,2025-11-17,Grupo Ryanair,FR6275,edinburgh,21:05:00,En hora,197,Boeing 737 MAX 8,Y,INT,Lunes,Noche,0,0
154,2025-11-17,Grupo Ryanair,FR6920,dublin,21:10:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Noche,0,0
155,2025-11-17,Grupo easy,EC1380,geneva,21:20:00,Retrasado,180,Airbus A320,R,EU,Lunes,Noche,0,0
156,2025-11-17,Grupo wizz,W43178,bucharest,21:20:00,Retrasado,230,Airbus A321,S,EU,Lunes,Noche,0,0
157,2025-11-17,Grupo wizz,W43406,cluj-napoca,21:25:00,En hora,180,Airbus A320,S,EU,Lunes,Noche,0,0
158,2025-11-17,Grupo Ryanair,FR2402,sevilla,21:30:00,Retrasado,189,Boeing 737-800,U,NAC,Lunes,Noche,0,0
159,2025-11-17,Grupo Ryanair,RR4084,warsaw,21:30:00,Retrasado,189,Boeing 737-800,R,EU,Lunes,Noche,0,0
160,2025-11-17,Grupo wizz,W46020,rome,21:35:00,Retrasado,239,Airbus A321neo,S,EU,Lunes,Noche,0,0
161,2025-11-17,Grupo Ryanair,FR3168,newcastle,21:45:00,En hora,189,Boeing 737-800,W,INT,Lunes,Noche,0,0
162,2025-11-17,Grupo Ryanair,FR4587,porto,21:45:00,En hora,197,Boeing 737 MAX 8,S,EU,Lunes,Noche,0,0
163,2025-11-17,Grupo Ryanair,FR1527,valletta,21:50:00,Retrasado,197,Boeing 737 MAX 8,S,EU,Lunes,Noche,0,0
164,2025-11-17,Grupo Ryanair,FR2250,marrakech,21:50:00,En hora,197,Boeing 737 MAX 8,S,EU,Lunes,Noche,0,0
165,2025-11-17,Grupo easy,U22706,bristol,21:55:00,En hora,180,Airbus A320,M,INT,Lunes,Noche,0,0
166,2025-11-17,Grupo wizz,W64116,belgrade,21:55:00,En hora,239,Airbus A321neo,Y,INT,Lunes,Noche,0,0
167,2025-11-17,Grupo Ryanair,FR8574,rome,22:20:00,En hora,189,Boeing 737-800,U,EU,Lunes,Noche,0,0
